Metric,Period,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24,Sample_25,Sample_26,Sample_27,Sample_28,Sample_29,Sample_30
TSS,2020-01-01 to 2022-01-01,0.5672651160228771,0.5549880809941583,0.6690769885155253,0.4855977404380196,0.5979852443013688,0.5784925441186821,0.6547986621336703,0.6435559336452573,0.6000018360471129,0.5387298838088186,0.6525250237921105,0.555061522878677,0.518775111769368,0.64409144738654,0.6047174170489216,0.5709096695421204,0.5773266542019468,0.5492902147869114,0.5552084066477145,0.5237691599166435,0.6097849070807156,0.4854661570615902,0.6177564116295224,0.5501776375581797,0.5390817928388043,0.6132611562812702,0.5434821857528864,0.581433279577954,0.6008525378761218,0.5583327468182833
HSS,2020-01-01 to 2022-01-01,0.17235444902194316,0.13891248384840982,0.1841614747270389,0.12321424827801472,0.16645442658977755,0.15952558763591257,0.19015107689272662,0.16776016917447673,0.15964611021683323,0.15052742011746287,0.17615943387887315,0.1433010239511828,0.14108277471944475,0.17646235245689298,0.16521542841138528,0.16012451754600532,0.1671606244334991,0.15189802720933007,0.152961975330291,0.13713947825752532,0.16568072427895947,0.14042549424870215,0.16261294243590765,0.15504563183906273,0.1458000729968691,0.1736513248249467,0.15891851940668175,0.1587071953064247,0.16016091787136194,0.1660546225485244
POD,2020-01-01 to 2022-01-01,0.8633093525179856,0.935251798561151,1.0,0.8633093525179856,0.9280575539568345,0.9136690647482014,0.9640287769784173,1.0,0.9496402877697842,0.8705035971223022,0.9928057553956835,0.920863309352518,0.8633093525179856,0.9784172661870504,0.9424460431654677,0.8992805755395683,0.8920863309352518,0.8848920863309353,0.8920863309352518,0.8848920863309353,0.9496402877697842,0.8057553956834532,0.9712230215827338,0.8776978417266187,0.8848920863309353,0.935251798561151,0.8561151079136691,0.920863309352518,0.9496402877697842,0.8633093525179856
F1,2020-01-01 to 2022-01-01,0.2513089005235602,0.2235597592433362,0.26325757575757575,0.2092414995640802,0.2471264367816092,0.2409867172675522,0.268,0.24910394265232974,0.2415370539798719,0.2326923076923077,0.2562674094707521,0.22715173025732033,0.2245088868101029,0.2563619227144204,0.2462406015037594,0.2413127413127413,0.2472582253240279,0.2340627973358706,0.23507109004739338,0.22142214221422143,0.2467289719626168,0.22310756972111553,0.24434389140271492,0.23666343355965083,0.2288372093023256,0.253411306042885,0.23967774420946628,0.2403755868544601,0.24197983501374887,0.2459016393442623
FAR,2020-01-01 to 2022-01-01,0.29604423649510847,0.3802637175669928,0.33092301148447467,0.37771161207996595,0.33007230965546575,0.33517652062951936,0.30923011484474694,0.3564440663547427,0.3496384517226712,0.3317737133134836,0.340280731603573,0.36580178647384093,0.3445342407486176,0.33432581880051043,0.33772862611654614,0.3283709059974479,0.31475967673330496,0.3356018715440238,0.3368779242875372,0.3611229264142918,0.3398553806890685,0.32028923862186304,0.3534666099532114,0.32752020416843897,0.345810293492131,0.3219906422798809,0.31263292216078264,0.339430029774564,0.3487877498936623,0.30497660569970225
ACC,2020-01-01 to 2022-01-01,0.7128514056224899,0.6373493975903615,0.6875502008032128,0.6357429718875502,0.6843373493975904,0.678714859437751,0.7060240963855422,0.6634538152610442,0.6670682730923695,0.6795180722891566,0.6783132530120481,0.6502008032128515,0.6670682730923695,0.6831325301204819,0.6779116465863454,0.6843373493975904,0.6967871485943775,0.6767068273092369,0.6759036144578313,0.6526104417670683,0.6763052208835342,0.6867469879518072,0.6646586345381527,0.6839357429718875,0.6670682730923695,0.6923694779116466,0.6967871485943775,0.6751004016064257,0.6678714859437751,0.704417670682731
TSS,2022-01-01 to 2025-01-01,0.5605918458527093,0.5535012423736893,0.5879168269409302,0.60564333563848,0.5826969656841416,0.5530476866439048,0.5472283003828132,0.606964766286843,0.5977177879092133,0.5684655452956672,0.5964858072322754,0.5580384345274088,0.5691827799229422,0.5943576919852125,0.5926831324679341,0.5619634899315065,0.5375167893859552,0.5677436396516075,0.5867806021080766,0.5816894273637038,0.5737592086176523,0.5127169599714881,0.5372986529021144,0.5877489038875238,0.5720610604656116,0.5448930255413533,0.567586693487645,0.5666403454870854,0.5583287382205715,0.56767614345907
HSS,2022-01-01 to 2025-01-01,0.410059172709588,0.4011260592243173,0.4325718595456933,0.45633241141127984,0.4265605309090275,0.40157152365891813,0.39286884396546895,0.4542325950957271,0.4410780712711951,0.4103096794509362,0.4414688646189252,0.41212080861964645,0.4144079481995804,0.44058776082302026,0.4391732338312074,0.40655331972845665,0.3834071439233205,0.41512898020619143,0.4386907611756986,0.43136710523877375,0.42607460491446175,0.35824036454058245,0.3857401024073336,0.4333813686057349,0.41298416201665994,0.3923161504376788,0.41372665684379334,0.41432226155819996,0.4035354542187493,0.4122729738320528
POD,2022-01-01 to 2025-01-01,0.5941159668666095,0.5821193944587261,0.6075407026563839,0.6375321336760925,0.6006855184233076,0.5841188231933733,0.5701228220508426,0.6306769494430163,0.6132533561839475,0.5815481291059698,0.6161096829477292,0.6038274778634676,0.5912596401028277,0.6172522136532419,0.6163953156241074,0.5824050271351042,0.5604113110539846,0.5955441302485004,0.6243930305626963,0.6143958868894601,0.6138246215367038,0.5307055127106541,0.567552127963439,0.6098257640674093,0.5826906598114824,0.5726935161382463,0.5921165381319623,0.5952584975721222,0.580405598400457,0.5881176806626678
F1,2022-01-01 to 2025-01-01,0.7399501956599075,0.7312522425547183,0.7526539278131635,0.7733887733887734,0.7476004265908283,0.7324498567335244,0.7225339366515837,0.7696061345416522,0.7577201341097582,0.7332973167657122,0.7592397043294614,0.7455475224828073,0.7395498392282959,0.7595782073813708,0.7587904360056259,0.7327942497753819,0.714623930067383,0.7419928825622776,0.7626024768881912,0.7557976106816585,0.7541673977890858,0.6905779594870842,0.7192760180995476,0.754017305315204,0.734605689593086,0.723826714801444,0.7398286937901499,0.7416370106761566,0.7309352517985611,0.737332139659803
