Metric,Period,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24,Sample_25,Sample_26,Sample_27,Sample_28,Sample_29,Sample_30
TSS,2020-01-01 to 2022-01-01,0.7574750830564784,0.7242524916943522,0.45514950166112955,0.7441860465116279,0.5980066445182723,0.7308970099667774,0.7541528239202657,0.6644518272425249,0.6578073089700996,0.5780730897009967,0.5681063122923589,0.7624584717607974,0.7458471760797343,0.7558139534883721,0.5199335548172758,0.7159468438538206,0.7342192691029901,0.6013289036544851,0.7408637873754154,0.7308970099667774,0.6112956810631229,0.5697674418604651,0.6877076411960132,0.5880398671096345,0.6594684385382059,0.7491694352159468,0.7259136212624584,0.7475083056478405,0.7159468438538206,0.4767441860465116
HSS,2020-01-01 to 2022-01-01,0.2753921674899732,0.24219807141738003,0.09227182454019514,0.26144338535665657,0.15327343587952097,0.24840404742259087,0.27181455326988024,0.19417234039904904,0.1895736924153338,0.14289474515419198,0.13797740720817644,0.28087710351861295,0.26313535444607233,0.2735955965679132,0.11644400776484168,0.23471503675931552,0.25158352549694973,0.15507809925525604,0.25810185185185186,0.24840404742259087,0.16062854648625055,0.138784995824104,0.2113350785340314,0.14799013827848645,0.19071139550781852,0.26656260182315544,0.24373082780959734,0.26484169860863793,0.23471503675931552,0.09980338919576819
POD,2020-01-01 to 2022-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F1,2020-01-01 to 2022-01-01,0.3482142857142857,0.319672131147541,0.1921182266009852,0.33620689655172414,0.24375,0.325,0.34513274336283184,0.2785714285714286,0.2746478873239437,0.23493975903614459,0.23076923076923078,0.35294117647058826,0.33766233766233766,0.3466666666666667,0.2125340599455041,0.3132530120481928,0.3277310924369748,0.24528301886792453,0.3333333333333333,0.325,0.25,0.2314540059347181,0.2932330827067669,0.2392638036809816,0.2756183745583039,0.3406113537117904,0.32098765432098764,0.3391304347826087,0.3132530120481928,0.1984732824427481
FAR,2020-01-01 to 2022-01-01,0.2425249169435216,0.2757475083056478,0.5448504983388704,0.2558139534883721,0.4019933554817276,0.2691029900332226,0.24584717607973422,0.33554817275747506,0.34219269102990035,0.4219269102990033,0.4318936877076412,0.23754152823920266,0.2541528239202658,0.2441860465116279,0.48006644518272423,0.2840531561461794,0.26578073089701,0.39867109634551495,0.2591362126245847,0.2691029900332226,0.38870431893687707,0.43023255813953487,0.3122923588039867,0.4119601328903654,0.34053156146179403,0.25083056478405313,0.27408637873754155,0.25249169435215946,0.2840531561461794,0.5232558139534884
ACC,2020-01-01 to 2022-01-01,0.7722308892355694,0.7410296411856474,0.48829953198127923,0.7597503900156006,0.6224648985959438,0.7472698907956318,0.7691107644305772,0.6848673946957878,0.6786271450858035,0.6037441497659907,0.594383775351014,0.7769110764430577,0.7613104524180967,0.7706708268330733,0.5491419656786272,0.733229329173167,0.750390015600624,0.625585023400936,0.7566302652106084,0.7472698907956318,0.6349453978159126,0.5959438377535101,0.7067082683307332,0.6131045241809673,0.6801872074882995,0.7644305772230889,0.7425897035881436,0.7628705148205929,0.733229329173167,0.5085803432137286
TSS,2022-01-01 to 2025-01-01,0.576437587657784,0.5568022440392707,0.6561859423886072,0.6255259467040674,0.6119052756500162,0.576437587657784,0.605890603085554,0.6367461430575035,0.5974754558204769,0.6409537166900421,0.6760168302945302,0.6325385694249649,0.6129032258064516,0.5539971949509116,0.6748165929442227,0.6549789621318373,0.5820476858345021,0.5798562412342216,0.6171107994389902,0.6129032258064516,0.6577840112201964,0.6680062574171971,0.6185133239831697,0.6521806559499407,0.6269284712482468,0.6171107994389902,0.5806451612903226,0.6241234221598878,0.6185133239831697,0.6201181357212213
HSS,2022-01-01 to 2025-01-01,0.38069282460288834,0.3620261821880453,0.47560865347255654,0.4300359491288536,0.42464839975386226,0.38069282460288834,0.40982137359667786,0.4418873990121735,0.40135615330783186,0.4463896611315651,0.4851922383566881,0.43741694216610166,0.4169656045579236,0.3594066465732571,0.48911229329729755,0.4616313165636183,0.386134583469396,0.4106557024769709,0.4212920020346489,0.4169656045579236,0.464723648732338,0.486577947608441,0.42274084725141026,0.4762317420536543,0.43150522813026465,0.4212920020346489,0.3847695390781563,0.42857010566086656,0.42274084725141026,0.4288278878480269
POD,2022-01-01 to 2025-01-01,0.576437587657784,0.5568022440392707,0.6802244039270687,0.6255259467040674,0.6311360448807855,0.576437587657784,0.605890603085554,0.6367461430575035,0.5974754558204769,0.6409537166900421,0.6760168302945302,0.6325385694249649,0.6129032258064516,0.5539971949509116,0.6844319775596073,0.6549789621318373,0.5820476858345021,0.6423562412342216,0.6171107994389902,0.6129032258064516,0.6577840112201964,0.6872370266479664,0.6185133239831697,0.6858345021037868,0.6269284712482468,0.6171107994389902,0.5806451612903226,0.6241234221598878,0.6185133239831697,0.6297335203366059
F1,2022-01-01 to 2025-01-01,0.7313167259786477,0.7153153153153153,0.8063175394846218,0.7696289905090595,0.7712082262210797,0.7313167259786477,0.754585152838428,0.778063410454156,0.7480245829675154,0.7811965811965812,0.8066945606694561,0.7749140893470791,0.76,0.7129963898916968,0.8113050706566916,0.7915254237288135,0.7358156028368794,0.7736486486486487,0.7632263660017347,0.76,0.7935702199661591,0.8119304059652029,0.7642980935875217,0.8089330024813896,0.7706896551724138,0.7632263660017347,0.7346938775510204,0.768566493955095,0.7642980935875217,0.7714776632302406
