Metric,Period,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24,Sample_25,Sample_26,Sample_27,Sample_28,Sample_29,Sample_30
TSS,2020-01-01 to 2022-01-01,0.5534916515577043,0.5168509367556614,0.5410430516548758,0.4875691753469136,0.5342055055873535,0.5369547442141562,0.5422695438870916,0.5489945133729128,0.5152156137793736,0.5120575444084989,0.4993126903432993,0.5454276132579663,0.5031758446206169,0.5349105904937964,0.5389988979345159,0.5276642136822022,0.5433834595376066,0.5265502980316874,0.5518563285814165,0.5224619905909679,0.5200090061265361,0.49031841397371634,0.5374761515399291,0.49277139843814804,0.5398165594226598,0.502061928970102,0.5172597674997333,0.5470629362342541,0.5253238057994716,0.5273679595198313
HSS,2020-01-01 to 2022-01-01,0.27937363363668716,0.2626925451342358,0.27642931093983664,0.25765958712594444,0.27389270308038155,0.2696308285530669,0.27851541221473936,0.27194177036863115,0.2600538919111292,0.2634608232274271,0.2687204441312368,0.27482907896701,0.2575320614877015,0.2663183761124992,0.2730006392192522,0.2631585168374644,0.2714609202717303,0.26996779877270793,0.27663871736153806,0.2632572025675474,0.25934068531848753,0.2536140608958151,0.2794887911166981,0.25761616687265554,0.2743649586677307,0.2643631542001404,0.26335794960903564,0.2775656712020731,0.26793004765631845,0.2713382475779359
POD,2020-01-01 to 2022-01-01,0.6884057971014492,0.6521739130434783,0.6739130434782609,0.6159420289855072,0.6666666666666666,0.6739130434782609,0.6739130434782609,0.6884057971014492,0.6521739130434783,0.644927536231884,0.6231884057971014,0.6811594202898551,0.6376811594202898,0.6739130434782609,0.6739130434782609,0.6666666666666666,0.6811594202898551,0.6594202898550725,0.6884057971014492,0.6594202898550725,0.6594202898550725,0.6231884057971014,0.6666666666666666,0.6231884057971014,0.6739130434782609,0.6304347826086957,0.6521739130434783,0.6811594202898551,0.6594202898550725,0.6594202898550725
F1,2020-01-01 to 2022-01-01,0.33747779751332146,0.3220035778175313,0.3345323741007194,0.3165735567970205,0.33212996389891697,0.3286219081272085,0.33634719710669075,0.3310104529616725,0.3197158081705151,0.322463768115942,0.32637571157495254,0.3333333333333333,0.3171171171171171,0.3257443082311734,0.3315508021390374,0.32280701754385965,0.3304042179261863,0.3285198555956679,0.3350970017636684,0.32269503546099293,0.3192982456140351,0.3132969034608379,0.336996336996337,0.31675874769797424,0.33273703041144903,0.3228200371057514,0.3225806451612903,0.3357142857142857,0.3267504488330341,0.32971014492753625
FAR,2020-01-01 to 2022-01-01,0.1349141455437449,0.13532297628781684,0.13286999182338513,0.12837285363859363,0.13246116107931316,0.13695829926410466,0.13164349959116925,0.1394112837285364,0.13695829926410466,0.13286999182338513,0.12387571545380213,0.1357318070318888,0.13450531479967293,0.13900245298446443,0.1349141455437449,0.13900245298446443,0.13777596075224857,0.13286999182338513,0.13654946852003272,0.13695829926410466,0.1394112837285364,0.13286999182338513,0.12919051512673754,0.1304170073589534,0.13409648405560098,0.12837285363859363,0.1349141455437449,0.13409648405560098,0.13409648405560098,0.13205233033524122
ACC,2020-01-01 to 2022-01-01,0.8556501547987616,0.853328173374613,0.8568111455108359,0.8579721362229102,0.8568111455108359,0.8529411764705882,0.8579721362229102,0.8513931888544891,0.8517801857585139,0.8552631578947368,0.8626160990712074,0.8544891640866873,0.853328173374613,0.8510061919504643,0.8548761609907121,0.8506191950464397,0.8525541795665634,0.8560371517027864,0.8541021671826625,0.8521671826625387,0.8498452012383901,0.8541021671826625,0.8599071207430341,0.8564241486068112,0.8556501547987616,0.8587461300309598,0.8537151702786377,0.8560371517027864,0.8548761609907121,0.8568111455108359
TSS,2022-01-01 to 2025-01-01,0.7164091103398327,0.7214969644751676,0.7304600132451211,0.7181201230600216,0.7257688482724862,0.7245451142557815,0.7188793918761781,0.7288057020467921,0.7267547016857628,0.7190946804669902,0.7356610489338563,0.7150154932478676,0.735219175745924,0.7288736995749601,0.7213496734125235,0.7231966811890487,0.7308679984141293,0.7191739740014662,0.7218369521160078,0.7134517715903226,0.7177916529158094,0.7186641032853659,0.7300520280761129,0.7333721679693989,0.7220522407068198,0.7134176620810788,0.7202165289366028,0.7210096857716833,0.7252022760345259,0.7171796751622971
HSS,2022-01-01 to 2025-01-01,0.6368686912939425,0.6461167914021014,0.6510910293580392,0.6371190096042838,0.647773202518184,0.649862015717782,0.6419097765521404,0.6536834398300027,0.650244564818892,0.6416735117238239,0.6523928105491791,0.6440507539291521,0.6550419778783996,0.6543296395556889,0.6469959476336165,0.6485075725180348,0.6549473996559306,0.6401777999474565,0.649320375350611,0.6429309653120003,0.6452473936880266,0.6421463571415708,0.6472755715227341,0.6535415430984542,0.6490773813405176,0.6359004347178451,0.6454023761332731,0.6438119822543867,0.6469796151252658,0.6395378934793157
POD,2022-01-01 to 2025-01-01,0.8203966005665723,0.8286118980169972,0.826628895184136,0.8189801699716713,0.826628895184136,0.8308781869688385,0.8252124645892351,0.8320113314447593,0.8291784702549575,0.8246458923512748,0.8232294617563739,0.8322946175637393,0.8274787535410765,0.8328611898016998,0.830028328611898,0.8303116147308782,0.831728045325779,0.8223796033994334,0.8328611898016998,0.8322946175637393,0.8311614730878187,0.8257790368271954,0.8215297450424929,0.8271954674220963,0.8322946175637393,0.8220963172804533,0.8288951841359773,0.8257790368271954,0.8260623229461757,0.8235127478753541
F1,2022-01-01 to 2025-01-01,0.8830614422930325,0.8874393203883495,0.8881448790138488,0.8827480916030535,0.8873346510567128,0.8889225640248523,0.8855449156406748,0.8901348689195333,0.8885853066180935,0.8853406326034063,0.887599266951741,0.8878815352070112,0.8893286649413914,0.8905043162199,0.8880133353538415,0.8884510457714458,0.890371493555724,0.8843869002284844,0.8892921960072595,0.8876132930513595,0.887880163413527,0.8857490124582194,0.8859019398197647,0.8888888888888888,0.8890906339839613,0.8832749961954041,0.8873388931008339,0.8861529107767138,0.8869961977186311,0.8845276129621178
