Metric,Period,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24,Sample_25,Sample_26,Sample_27,Sample_28,Sample_29,Sample_30
TSS,2020-01-01 to 2022-01-01,0.49617415168500123,0.4999185989720213,0.5099890690048142,0.5315952275740168,0.5130357931948741,0.48598739446938155,0.506709770449101,0.5670163034630322,0.5418982719724632,0.45484568690838895,0.5181291718026839,0.5486894434495431,0.5249203432797638,0.49219713003232785,0.3469544386817685,0.5437123520245598,0.5593413493964695,0.4812428774100519,0.5726911179849756,0.5046631160313511,0.5271530571900365,0.5775519222271321,0.5198269646719539,0.5187106077168174,0.5215247575412238,0.5611554294485661,0.5656673721422425,0.5878549666255785,0.46561388003814214,0.5132683675605274
HSS,2020-01-01 to 2022-01-01,0.2273856090724023,0.2143647841392997,0.22746180098129726,0.2728835615620635,0.2480741332193745,0.21910224282014448,0.21953628036799308,0.33080503127586536,0.27562548057017805,0.22122051920140265,0.25273690539666693,0.28252877142138605,0.25908282155771106,0.255811142404719,0.17329786368969483,0.26995692790909825,0.2635818638142104,0.20067694038463404,0.29128763234163363,0.2345001242799866,0.357626343110494,0.3138769164654878,0.25430941300959164,0.22357328307787924,0.25589118006185024,0.2585872442582014,0.3005573199214068,0.31638106920679426,0.20331684726862806,0.2358681130764709
POD,2020-01-01 to 2022-01-01,0.8493150684931506,0.8904109589041096,0.8767123287671232,0.821917808219178,0.8356164383561644,0.8493150684931506,0.8904109589041096,0.7945205479452054,0.8356164383561644,0.7808219178082192,0.8356164383561644,0.8356164383561644,0.8356164383561644,0.7808219178082192,0.6712328767123288,0.8493150684931506,0.8904109589041096,0.8904109589041096,0.863013698630137,0.8493150684931506,0.6986301369863014,0.8356164383561644,0.8356164383561644,0.9041095890410958,0.8356164383561644,0.9041095890410958,0.8356164383561644,0.8493150684931506,0.8493150684931506,0.863013698630137
F1,2020-01-01 to 2022-01-01,0.36151603498542273,0.3532608695652174,0.3626062322946176,0.39473684210526316,0.3765432098765432,0.3553008595988539,0.35714285714285715,0.4377358490566038,0.3973941368078176,0.35403726708074534,0.38006230529595014,0.40264026402640263,0.38485804416403785,0.38,0.31309904153354634,0.39365079365079364,0.39039039039039036,0.34300791556728233,0.41042345276872966,0.3668639053254438,0.4533333333333333,0.42657342657342656,0.38125,0.36065573770491804,0.3824451410658307,0.3870967741935484,0.41638225255972694,0.4290657439446367,0.34349030470914127,0.3684210526315789
FAR,2020-01-01 to 2022-01-01,0.3531409168081494,0.3904923599320883,0.366723259762309,0.2903225806451613,0.3225806451612903,0.3633276740237691,0.3837011884550085,0.22750424448217318,0.2937181663837012,0.32597623089983024,0.3174872665534805,0.2869269949066214,0.31069609507640067,0.28862478777589134,0.3242784380305603,0.30560271646859083,0.3310696095076401,0.4091680814940577,0.2903225806451613,0.34465195246179964,0.17147707979626486,0.25806451612903225,0.3157894736842105,0.3853989813242784,0.3140916808149406,0.34295415959252973,0.2699490662139219,0.2614601018675722,0.3837011884550085,0.34974533106960953
ACC,2020-01-01 to 2022-01-01,0.6691842900302115,0.6404833836858006,0.6601208459214502,0.7220543806646526,0.6948640483383686,0.6601208459214502,0.6465256797583081,0.7749244712990937,0.7205438066465257,0.6858006042296072,0.6993957703927492,0.7265861027190332,0.7054380664652568,0.7190332326283988,0.675226586102719,0.7114803625377644,0.6933534743202417,0.6238670694864048,0.7265861027190332,0.676737160120846,0.8141993957703928,0.7522658610271903,0.7009063444108762,0.6465256797583081,0.702416918429003,0.6842900302114804,0.7416918429003021,0.7507552870090635,0.6419939577039275,0.6737160120845922
TSS,2022-01-01 to 2025-01-01,0.41036609995226375,0.36639371350934524,0.38270358266319043,0.5124052925984406,0.4167248069131813,0.4875273871161214,0.41035997992631496,0.49277836938028613,0.5157284666886988,0.4319269513702738,0.42142498684194424,0.44769213821466597,0.4413395512796974,0.5126745737401928,0.3818712591341387,0.40564755994565416,0.43774097602173834,0.3711000134640571,0.3968041224494792,0.4123061481780683,0.5508451755835444,0.5077112326956266,0.4131323516811711,0.43138226906082083,0.4070429258620057,0.4449320065117076,0.4847488953353162,0.45129071347262517,0.3799434509602321,0.3857513555857477
HSS,2022-01-01 to 2025-01-01,0.42524059423208027,0.38329870703591423,0.3844576628087487,0.49363689158395263,0.4264532271145891,0.5028214709521044,0.4116119606386701,0.49808083088733346,0.5080026283585418,0.4216664475964009,0.427933106709837,0.4390125338702563,0.45234660210008654,0.47644506122634694,0.37841820861306696,0.3851466191736565,0.44109512165791476,0.39836284741041483,0.38969227070561363,0.43689021325715693,0.5230061216010877,0.5084845494469796,0.4294607327011715,0.440083038069521,0.41205625425933956,0.44902938106443824,0.4676787000625878,0.4499222062906129,0.39309571901653256,0.3991046722935966
POD,2022-01-01 to 2025-01-01,0.8838174273858921,0.8796680497925311,0.8561549100968188,0.8575380359612724,0.8769017980636238,0.8990318118948825,0.8616874135546335,0.8865836791147994,0.8741355463347165,0.8478561549100968,0.8727524204702628,0.8547717842323651,0.8838174273858921,0.8312586445366529,0.8464730290456431,0.8215767634854771,0.8713692946058091,0.8976486860304288,0.8437067773167358,0.8990318118948825,0.8561549100968188,0.8838174273858921,0.8865836791147994,0.8782849239280774,0.8672199170124482,0.8741355463347165,0.8520055325034578,0.8672199170124482,0.8755186721991701,0.8769017980636238
F1,2022-01-01 to 2025-01-01,0.8699795779441797,0.8623728813559322,0.8543823326432022,0.872624912033779,0.8678986995208761,0.8867667121418826,0.8604972375690608,0.8823124569855472,0.8802228412256268,0.8573426573426574,0.8667582417582418,0.8625261688764829,0.8741450068399452,0.8610315186246418,0.85,0.8419560595322466,0.8683666436940042,0.8705566733735748,0.8507670850767085,0.8766014834794336,0.8773919206236711,0.8832066344160332,0.8715159755268524,0.8704592186429061,0.8624484181568088,0.8705234159779615,0.8663853727144867,0.868421052631579,0.8623978201634878,0.8637602179836512
