Metric,Period,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24,Sample_25,Sample_26,Sample_27,Sample_28,Sample_29,Sample_30
TSS,2020-01-01 to 2022-01-01,0.36295911295911293,0.7498700623700624,0.6264293139293139,0.34606722106722104,0.4827182952182952,0.45906964656964655,0.6230509355509355,0.452009702009702,0.8383142758142759,0.5049809424809425,0.7239258489258489,0.5464310464310465,0.8777720027720027,0.7802754677754677,0.6571379071379071,0.25532744282744285,0.5596413721413722,0.619975744975745,0.44048856548856546,0.7583160083160083,0.8112872487872488,0.5974099099099098,0.7448024948024948,0.8062196812196812,0.8713184338184338,0.6165973665973666,0.4213011088011088,0.6419352044352045,0.41593035343035345,0.5151160776160776
HSS,2020-01-01 to 2022-01-01,0.34245315788398273,0.4655346267091518,0.4733663901026069,0.29336711277560534,0.40920856969763725,0.3407326443026377,0.46244354073907384,0.3755510372996024,0.6113488842211658,0.4154284696240869,0.5144510449690665,0.3635630097115357,0.5934754597633829,0.559254947613504,0.5057249045849236,0.2436554517649004,0.4603955104222341,0.3966910083556196,0.2978212486822069,0.48895467366716006,0.5191015283994069,0.447388906908855,0.45230016570662035,0.5042667894779617,0.5070064015323353,0.38857423607604435,0.34320695799446044,0.45618517036535444,0.3880470360043642,0.4503900628645005
POD,2020-01-01 to 2022-01-01,0.41025641025641024,0.8461538461538461,0.6923076923076923,0.41025641025641024,0.5384615384615384,0.5384615384615384,0.6923076923076923,0.5128205128205128,0.8974358974358975,0.5641025641025641,0.7948717948717948,0.6410256410256411,0.9487179487179487,0.8461538461538461,0.717948717948718,0.3076923076923077,0.6153846153846154,0.717948717948718,0.5384615384615384,0.8461538461538461,0.8974358974358975,0.6666666666666666,0.8461538461538461,0.8974358974358975,0.9743589743589743,0.717948717948718,0.48717948717948717,0.717948717948718,0.46153846153846156,0.5641025641025641
F1,2020-01-01 to 2022-01-01,0.3855421686746988,0.5116279069767442,0.5142857142857142,0.34408602150537637,0.45161290322580644,0.3925233644859813,0.5046728971962616,0.42105263157894735,0.6422018348623854,0.4583333333333333,0.5535714285714286,0.4166666666666667,0.6271186440677966,0.5945945945945946,0.5436893203883495,0.2926829268292683,0.5,0.448,0.3559322033898305,0.532258064516129,0.56,0.49056603773584906,0.5,0.546875,0.5507246376811594,0.4409448818897638,0.3917525773195876,0.5,0.42857142857142855,0.4888888888888889
FAR,2020-01-01 to 2022-01-01,0.0472972972972973,0.09628378378378379,0.06587837837837837,0.06418918918918919,0.05574324324324324,0.07939189189189189,0.06925675675675676,0.060810810810810814,0.05912162162162162,0.05912162162162162,0.07094594594594594,0.0945945945945946,0.07094594594594594,0.06587837837837837,0.060810810810810814,0.052364864864864864,0.05574324324324324,0.09797297297297297,0.09797297297297297,0.08783783783783784,0.08614864864864864,0.06925675675675676,0.10135135135135136,0.09121621621621621,0.10304054054054054,0.10135135135135136,0.06587837837837837,0.07601351351351351,0.04560810810810811,0.048986486486486486
ACC,2020-01-01 to 2022-01-01,0.919175911251981,0.9001584786053882,0.919175911251981,0.9033280507131537,0.919175911251981,0.8969889064976229,0.9160063391442155,0.9128367670364501,0.9381933438985737,0.9175911251980983,0.9207606973058637,0.8890649762282092,0.93026941362916,0.9286846275752774,0.9255150554675119,0.9080824088748018,0.9239302694136292,0.8906497622820919,0.8795562599049128,0.9080824088748018,0.9128367670364501,0.9144215530903328,0.8954041204437401,0.9080824088748018,0.901743264659271,0.8874801901743264,0.9064976228209192,0.9112519809825673,0.9239302694136292,0.9270998415213946
TSS,2022-01-01 to 2025-01-01,0.6345453793331679,0.6682179200794243,0.6514230164639696,0.6681351865640771,0.643666749400182,0.7129353851245139,0.6317738065690411,0.6443906676594688,0.6247414577645405,0.6380408703565814,0.6541532224704227,0.7157896914039878,0.6983949698022669,0.684288905435592,0.6815586994291388,0.7038967485728469,0.6541945892280963,0.6983122362869199,0.7039381153305204,0.7025316455696203,0.6836477206916522,0.6647224290560105,0.6605030197733102,0.6857367419541657,0.6535534044841566,0.6758914536278646,0.6969057665260198,0.7081575246132209,0.6303259700504674,0.6870604781997187
HSS,2022-01-01 to 2025-01-01,0.5761422749723,0.6125478745591748,0.6029482147985068,0.5953043510310894,0.586284853051997,0.622616800484091,0.580069315861938,0.5916536105967811,0.5690467219291635,0.57748324534801,0.5901991154571071,0.6357840975896532,0.6485230284638728,0.6164165339146475,0.6298225327076903,0.6301113692961423,0.5987335901488836,0.6300408681209995,0.639148153016958,0.6368605098109068,0.6287067506134327,0.6113023795484374,0.6045072075568133,0.6276016771885323,0.6108490566037735,0.6117413605900632,0.627781969946806,0.6460548537139946,0.5695995514228307,0.6121666697381273
POD,2022-01-01 to 2025-01-01,0.8551336146272855,0.869198312236287,0.8720112517580872,0.849507735583685,0.8593530239099859,0.8452883263009845,0.8621659634317862,0.8649789029535865,0.8551336146272855,0.8537271448663853,0.8551336146272855,0.8579465541490858,0.8846694796061885,0.8607594936708861,0.8776371308016878,0.8607594936708861,0.8649789029535865,0.8649789029535865,0.870604781997187,0.869198312236287,0.8748241912798875,0.870604781997187,0.8663853727144867,0.8720112517580872,0.8790436005625879,0.8621659634317862,0.8635724331926864,0.8748241912798875,0.8509142053445851,0.8537271448663853
F1,2022-01-01 to 2025-01-01,0.8914956011730205,0.9021897810218978,0.9011627906976745,0.893491124260355,0.8945827232796486,0.8976848394324123,0.8942377826404084,0.8971553610503282,0.890190336749634,0.8913362701908958,0.8941176470588236,0.9037037037037037,0.9129172714078374,0.9006622516556292,0.9076363636363637,0.9033210332103321,0.8984660336011687,0.9044117647058824,0.907624633431085,0.9068231841526045,0.9067055393586005,0.902332361516035,0.8999269539810081,0.9057706355003652,0.9044862518089725,0.9001468428781204,0.9036055923473142,0.9100219458668617,0.8890521675238795,0.8979289940828402
