Metric,Period,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24,Sample_25,Sample_26,Sample_27,Sample_28,Sample_29,Sample_30
TSS,2020-01-01 to 2022-01-01,0.35696158221755486,0.45164960182025027,0.6727049969370789,0.4601382690119892,0.587293252822263,0.5125579767217993,0.2652489717336134,0.6962457337883958,0.272862518596307,0.32458213004288083,0.3006038330270412,0.6271987398267262,0.3907412269187014,0.15585893060295788,0.6379627198739827,0.48236632536973834,0.14842040780607335,0.3074297715935941,0.425395991948893,0.637350135643651,0.1501706484641638,0.5969195764417607,0.05154458738076484,0.3040168023103177,0.3963419970245909,0.2509845103701759,0.08698696070709724,0.7422770630961757,0.0483066421632975,0.14675767918088736
HSS,2020-01-01 to 2022-01-01,0.14595484309586002,0.14309479579671167,0.2182133022965339,0.16572635294859267,0.1714307609778527,0.18379514858631185,0.10328142569939006,0.16300940438871472,0.06946331900104707,0.10528855707269992,0.10874726944629119,0.17554559482695276,0.11088484366851267,0.060114085125054846,0.20134228187919462,0.17071886517793539,0.06224538481300693,0.11425504927309982,0.14862261901122084,0.2207839451905296,0.056583242655059846,0.19675772348342804,0.022665178743217763,0.11146404851285013,0.13729651074665777,0.10313949724889417,0.028557474071307494,0.21286420558636784,0.013951019789218288,0.05454190652746609
POD,2020-01-01 to 2022-01-01,0.5128205128205128,0.6666666666666666,0.8717948717948718,0.6410256410256411,0.8205128205128205,0.6923076923076923,0.4358974358974359,1.0,0.5641025641025641,0.5384615384615384,0.48717948717948717,0.8717948717948718,0.6410256410256411,0.3333333333333333,0.8461538461538461,0.6666666666666666,0.3076923076923077,0.48717948717948717,0.6153846153846154,0.8205128205128205,0.3333333333333333,0.7948717948717948,0.20512820512820512,0.48717948717948717,0.5897435897435898,0.41025641025641024,0.3076923076923077,0.9743589743589743,0.3076923076923077,0.3333333333333333
F1,2020-01-01 to 2022-01-01,0.20408163265306123,0.2047244094488189,0.27419354838709675,0.2242152466367713,0.2318840579710145,0.24107142857142858,0.1650485436893204,0.22608695652173913,0.138801261829653,0.1693548387096774,0.17117117117117117,0.2361111111111111,0.176056338028169,0.125,0.25882352941176473,0.2290748898678414,0.1256544502617801,0.17592592592592593,0.20869565217391303,0.27586206896551724,0.12206572769953052,0.2540983606557377,0.08791208791208792,0.1735159817351598,0.19827586206896552,0.1641025641025641,0.09795918367346938,0.2704626334519573,0.08602150537634409,0.12037037037037036
FAR,2020-01-01 to 2022-01-01,0.1558589306029579,0.2150170648464164,0.19908987485779295,0.18088737201365188,0.23321956769055746,0.17974971558589306,0.17064846416382254,0.3037542662116041,0.2912400455062571,0.21387940841865757,0.18657565415244595,0.2445961319681456,0.2502844141069397,0.17747440273037543,0.20819112627986347,0.18430034129692832,0.15927189988623436,0.17974971558589306,0.1899886234357224,0.1831626848691695,0.1831626848691695,0.19795221843003413,0.15358361774744028,0.1831626848691695,0.19340159271899887,0.15927189988623436,0.22070534698521047,0.23208191126279865,0.2593856655290102,0.18657565415244595
ACC,2020-01-01 to 2022-01-01,0.8300653594771242,0.7799564270152506,0.803921568627451,0.8115468409586056,0.7690631808278867,0.8148148148148148,0.8126361655773421,0.7091503267973857,0.7026143790849673,0.775599128540305,0.7995642701525054,0.7603485838779956,0.7450980392156863,0.8017429193899782,0.7941176470588235,0.809368191721133,0.818082788671024,0.8061002178649237,0.8017429193899782,0.8169934640522876,0.7962962962962963,0.8017429193899782,0.8191721132897604,0.8028322440087146,0.7973856209150327,0.8224400871459695,0.7592592592592593,0.7766884531590414,0.7222222222222222,0.7930283224400871
TSS,2022-01-01 to 2025-01-01,0.41237073417796605,0.4643120528704413,0.3412486518026062,0.3696961158796692,0.30379001030647357,0.36436150341049023,0.2908153749542996,0.37293007853338944,0.3353596457356467,0.4009007184872584,0.4129182834103419,0.29710078385094796,0.3508005340886471,0.3609319059789524,0.374643451339699,0.3760556720682018,0.2687753776236021,0.38133267779522456,0.3920532354741178,0.4086947395918591,0.3599554431812154,0.3276300757386068,0.34618001707669166,0.3795491502435168,0.4287589967757335,0.3968853574498351,0.40986968898633236,0.41981569264692714,0.41377611054106417,0.41286067666818577
HSS,2022-01-01 to 2025-01-01,0.43880861890444117,0.4561356422245818,0.3734151855092689,0.38206165319400515,0.283201956692233,0.39848956185816203,0.3190973250064304,0.35440113781971366,0.31292260317970555,0.41645297524813485,0.4366151823461652,0.27543185520735236,0.3795248711719511,0.36807971056641964,0.40164191041768066,0.42302776615757337,0.3204775522556557,0.411448820138147,0.398199749276447,0.4421595844921327,0.40401131824234354,0.36067460529248696,0.40296293738978944,0.4205967921049654,0.4224485334571164,0.4319427822278282,0.3956841028939119,0.45764258876649283,0.3717566225521897,0.4437977569009354
POD,2022-01-01 to 2025-01-01,0.5063113604488079,0.5960729312762973,0.43478260869565216,0.4908835904628331,0.5063113604488079,0.453015427769986,0.394109396914446,0.5469845722300141,0.5301542776998598,0.511921458625526,0.5105189340813464,0.5049088359046283,0.4488078541374474,0.49228611500701264,0.4726507713884993,0.44600280504908835,0.33099579242636745,0.4740532959326788,0.5189340813464236,0.49368863955119213,0.43478260869565216,0.42075736325385693,0.40392706872370265,0.45722300140252453,0.5666199158485273,0.48106591865357645,0.5652173913043478,0.49789621318373073,0.6171107994389902,0.5007012622720898
F1,2022-01-01 to 2025-01-01,0.5532567049808429,0.5813953488372093,0.4948124501197127,0.5143277002204262,0.4592875318066158,0.5151515151515151,0.45032051282051283,0.5094709340300457,0.48152866242038217,0.540340488527017,0.5527714502657555,0.45454545454545453,0.5023547880690737,0.5061283345349675,0.5220759101471727,0.5286783042394015,0.4283121597096189,0.5285379202501954,0.5304659498207885,0.5525902668759811,0.5136702568351285,0.4830917874396135,0.5039370078740157,0.5300813008130081,0.554945054945055,0.5431512272367379,0.5380507343124166,0.5634920634920635,0.5323653962492438,0.5552099533437014
