Metric,Period,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24,Sample_25,Sample_26,Sample_27,Sample_28,Sample_29,Sample_30
TSS,2020-01-01 to 2022-01-01,0.1664054600606673,0.1262386248736097,0.4462841253791709,0.24551314459049545,0.059871081900910034,0.3096814964610718,0.172623862487361,0.1454120323559151,0.3034504550050556,0.13030839231547015,0.3114256825075834,0.2446536905965622,0.33466885743174923,0.17280080889787663,0.42395096056622855,0.10793731041456012,0.14599342770475227,0.13066228513650152,0.23701971688574314,0.2864888776541962,0.2736476238624873,-0.011627906976744207,0.27568250758341756,0.05659757330637011,0.37559403437815975,0.22325581395348837,0.10960566228513646,0.10304600606673409,0.11218402426693627,0.37548028311425685
HSS,2020-01-01 to 2022-01-01,0.027667917740166185,0.020573304757010278,0.07439910240675092,0.039602002424029906,0.011716706509734859,0.04798729321857799,0.028279042802644042,0.02137623568298513,0.04112320174845118,0.021495982794873907,0.048496061171168066,0.04705050205513248,0.047713821583571264,0.029298126437101817,0.060442793057809245,0.019791562861387217,0.021495131448562695,0.02312847399724597,0.03506108533624746,0.04428454485600245,0.044906463017139374,-0.0021551042590247918,0.04551695930351456,0.008587188827066328,0.05626402837720017,0.03854403739190584,0.016012925562608193,0.016750250134055417,0.021684930854241155,0.057993138350568796
POD,2020-01-01 to 2022-01-01,0.45652173913043476,0.42391304347826086,0.7282608695652174,0.5434782608695652,0.30434782608695654,0.6195652173913043,0.4673913043478261,0.4782608695652174,0.6630434782608695,0.42391304347826086,0.6195652173913043,0.4891304347826087,0.6739130434782609,0.45652173913043476,0.7608695652173914,0.3695652173913043,0.4782608695652174,0.40217391304347827,0.5652173913043478,0.5978260869565217,0.5652173913043478,0.25,0.5652173913043478,0.3804347826086957,0.6956521739130435,0.5,0.44565217391304346,0.40217391304347827,0.358695652173913,0.6847826086956522
F1,2020-01-01 to 2022-01-01,0.07420494699646643,0.06753246753246753,0.11868910540301152,0.0856898029134533,0.05827263267429761,0.09382716049382717,0.07484769364664925,0.06869633099141297,0.08776978417266187,0.06836108676599474,0.09429280397022333,0.09202453987730061,0.09386828160484481,0.07567567567567568,0.10598031794095382,0.06627680311890838,0.0688037529319781,0.06961429915333961,0.0816967792615868,0.090311986863711,0.09067131647776809,0.04532019704433497,0.0912280701754386,0.05640612409347301,0.10182975338106603,0.08440366972477065,0.06361520558572537,0.06390328151986183,0.06783144912641316,0.10336341263330599
FAR,2020-01-01 to 2022-01-01,0.29011627906976745,0.29767441860465116,0.2819767441860465,0.29796511627906974,0.2444767441860465,0.30988372093023253,0.2947674418604651,0.3328488372093023,0.35959302325581394,0.2936046511627907,0.3081395348837209,0.2444767441860465,0.33924418604651163,0.2837209302325581,0.3369186046511628,0.2616279069767442,0.33226744186046514,0.27151162790697675,0.32819767441860465,0.31133720930232556,0.2915697674418605,0.2616279069767442,0.2895348837209302,0.32383720930232557,0.3200581395348837,0.27674418604651163,0.336046511627907,0.2991279069767442,0.24651162790697675,0.30930232558139537
ACC,2020-01-01 to 2022-01-01,0.7032842582106456,0.6950736126840317,0.7182899207248018,0.6979048697621744,0.7437712344280861,0.6882785956964892,0.6990373725934315,0.6622310305775765,0.6409966024915063,0.6990373725934315,0.6899773499433749,0.7485843714609286,0.6610985277463194,0.7095130237825594,0.6656285390713477,0.7287655719139298,0.662797281993205,0.7199886749716874,0.669026047565119,0.6862967157417894,0.7046998867497168,0.7256511891279728,0.7066817667044167,0.6684597961494904,0.6803510758776897,0.717440543601359,0.6582672706681767,0.6930917327293318,0.7432049830124575,0.6905436013590034
TSS,2022-01-01 to 2025-01-01,0.40349592374624316,0.39723551334728713,0.36373020792758987,0.39038295111981414,0.36763148362299314,0.3695470222911996,0.40051025795307754,0.3938297941134419,0.3858890941708839,0.3786178425586456,0.3655100735529261,0.3633006818763953,0.37569446865222683,0.36203276664388184,0.4040501093518158,0.39810684195290374,0.3685659629653767,0.3860090553104465,0.3897196410411081,0.3606883127184068,0.37871451370648856,0.39028405706603697,0.3852755216124555,0.38929685948860027,0.3895450671443894,0.388329617543982,0.37950470624550686,0.39521691267667686,0.36591007031960837,0.387048137533211
HSS,2022-01-01 to 2025-01-01,0.3468143838028905,0.33083002210110835,0.3119387444109422,0.3233434727856118,0.3531301222594479,0.2996138878952091,0.3382106942483603,0.33473751418744746,0.3109889395258287,0.32142118999472513,0.30542865872859815,0.33452345942808565,0.28661001845910405,0.3123161902644611,0.3204743524256321,0.3492673531485972,0.3036407952971847,0.33942679062529235,0.31837535808751805,0.30798972293710547,0.329051885975467,0.34315029328082614,0.34519326382129367,0.31696053643970307,0.3207683810957771,0.3539927299552155,0.3039648020063287,0.324241586651235,0.32581013562592487,0.32020577908997533
POD,2022-01-01 to 2025-01-01,0.6123222748815166,0.6274881516587678,0.5819905213270142,0.6255924170616114,0.5175355450236967,0.6230647709320695,0.6211690363349132,0.6116903633491311,0.6401263823064771,0.6003159557661928,0.6,0.5383886255924171,0.669826224328594,0.5769352290679305,0.6654028436018957,0.595260663507109,0.6116903633491311,0.5842022116903633,0.6341232227488152,0.5823064770932069,0.5857819905213271,0.5876777251184834,0.5721958925750394,0.6360189573459716,0.6287519747235387,0.5642969984202212,0.6391785150078989,0.6357030015797789,0.5605055292259083,0.623696682464455
F1,2022-01-01 to 2025-01-01,0.5023979261179521,0.4945834889802017,0.47615354788677783,0.48967478669469516,0.49056603773584906,0.47472315840154067,0.4982891902167026,0.4947610529005878,0.48405208457770876,0.48481755549885175,0.4749280980367638,0.48278793030174244,0.47300312360553326,0.4755827581716369,0.4932084309133489,0.5013972055888224,0.4755588307541145,0.49352729213933005,0.4877870944221655,0.4737789203084833,0.4873176501511368,0.49639711769415534,0.49521465682253213,0.4871732817037754,0.48852338284030933,0.4994407158836689,0.4796111901375059,0.4916310323762981,0.48121524481215244,0.4874675885911841
FAR,2022-01-01 to 2025-01-01,0.20882635113527342,0.23025263831148066,0.21826031339942437,0.23520946594179726,0.14990406140070356,0.25351774864086984,0.22065877838183562,0.21786056923568917,0.2542372881355932,0.22169811320754718,0.23448992644707387,0.17508794371602174,0.2941317556763671,0.21490246242404862,0.26135273425007993,0.1971538215542053,0.2431244003837544,0.19819315637991686,0.24440358170770707,0.22161816437480014,0.2070674768148385,0.19739366805244643,0.18692037096258396,0.2467220978573713,0.23920690757914934,0.1759673808762392,0.25967380876239204,0.24048608890310202,0.19459545890629998,0.23664854493124401
ACC,2022-01-01 to 2025-01-01,0.7550564665348051,0.7410195878261979,0.7414024117909781,0.7366809162253557,0.7829388119696293,0.721559369616538,0.7473999872392012,0.7477190072098513,0.7244305493523895,0.7423594717029286,0.7320870286479934,0.7670516174312512,0.6985899317297263,0.743061315638359,0.7238563134052192,0.7609264339947681,0.7275569450647611,0.7578638422765265,0.7310661647419129,0.7387864480316468,0.751100618898743,0.7592037261532572,0.7644356536719199,0.7295986728769221,0.7341287564601544,0.7715817010144835,0.7199004657691571,0.7345115804249346,0.7559497224526255,0.7351496203662349
TSS,2020-01-01 to 2025-01-01,0.40525405757228034,0.39886685766197927,0.375716338308283,0.40190904058084387,0.37325818427851837,0.3784210720457083,0.40897079231789474,0.4049729012597666,0.4079047124216029,0.3780320274850896,0.3622263221296662,0.3829036131319943,0.39278653474575304,0.37894884656989686,0.4312995589981224,0.4086833405990409,0.3751562396640787,0.3987891565610956,0.39598675739136535,0.3669140318562193,0.3867197652425649,0.40217081012215095,0.38486899278658093,0.3877033695401982,0.40121063551722713,0.39902276041593276,0.39537265686708706,0.4011025162450361,0.37711971336995687,0.4022787753782846
HSS,2020-01-01 to 2025-01-01,0.31968659300401675,0.3035607716747161,0.2942306564895794,0.30325395066966376,0.3282991263461611,0.27658292716467375,0.31285022524921496,0.3099947463163425,0.29730919944378903,0.29376766389091147,0.2719333750591941,0.32016679175087487,0.2720236556314634,0.30079077068947385,0.30604941708996664,0.32898627118122004,0.2828594743298141,0.32181272660539056,0.29398888477501867,0.28447974317523367,0.30713763396178356,0.32250684028652143,0.3142976337091987,0.2842810162432602,0.30062100420538157,0.33477337737862933,0.28910168119738255,0.29936169870669094,0.31016626209544373,0.30353292806679305
POD,2020-01-01 to 2025-01-01,0.6202026404666872,0.6346330979428922,0.5996315627878416,0.6420018421860608,0.5379183297513049,0.6407737181455327,0.6401596561252687,0.6364752840036844,0.6668713540067547,0.6057721829904821,0.6119128031931225,0.5710776788455634,0.6849861836045441,0.5950260976358612,0.7021799201719373,0.6122198342032545,0.6202026404666872,0.6027018728891618,0.6463002763279091,0.5977893767270495,0.6011667178385017,0.6088424930918023,0.5848940743015044,0.6466073073380412,0.6453791832975131,0.5827448572305803,0.6545901136014738,0.6475284003684372,0.5747620509671477,0.6423088731961928
