Metric,Period,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24,Sample_25,Sample_26,Sample_27,Sample_28,Sample_29,Sample_30
TSS,2020-01-01 to 2022-01-01,0.128478836147936,0.12348030630377255,0.10879792388427956,0.11525702159211484,0.08469695613822023,0.1331737468519489,0.12583255564220241,0.13171317898827709,0.13024302315175842,0.11671758945578664,0.13230124132288457,0.11643314626132978,0.0855886376129783,0.11643314626132978,0.10879792388427956,0.121725707272797,0.0905775794842949,0.06973013052427032,0.12524449330759493,0.12965496081715094,0.11672717742863353,0.128478836147936,0.1131988034209887,0.11643314626132978,0.12406836863838,0.08881339248047251,0.11937345793436713,0.0847065441110671,0.08441251294376337,0.12377433747107627
HSS,2020-01-01 to 2022-01-01,0.0277647510599988,0.026176054222020174,0.02375594779720842,0.024709815716149906,0.017599440558140216,0.028073581903120575,0.02691606572327356,0.02882604108123534,0.02834030621328111,0.02412059239435187,0.029021912609662075,0.025075670624998925,0.018623709275413923,0.025075670624998925,0.02375594779720842,0.026764127903115924,0.019244290999537242,0.015567017444220803,0.02672981017046495,0.02814757354844126,0.025167655741365005,0.0277647510599988,0.024077490649485195,0.025075670624998925,0.026359810049117385,0.01874312662655084,0.02600505814429114,0.018368365992325955,0.01828364149885433,0.026267829031214412
POD,2020-01-01 to 2022-01-01,0.34782608695652173,0.34782608695652173,0.32608695652173914,0.33695652173913043,0.31521739130434784,0.358695652173913,0.34782608695652173,0.34782608695652173,0.34782608695652173,0.34782608695652173,0.34782608695652173,0.33695652173913043,0.30434782608695654,0.33695652173913043,0.32608695652173914,0.33695652173913043,0.31521739130434784,0.2826086956521739,0.34782608695652173,0.34782608695652173,0.33695652173913043,0.34782608695652173,0.33695652173913043,0.33695652173913043,0.34782608695652173,0.31521739130434784,0.33695652173913043,0.30434782608695654,0.30434782608695654,0.34782608695652173
F1,2020-01-01 to 2022-01-01,0.0735632183908046,0.07215332581736189,0.06968641114982578,0.07069555302166476,0.06408839779005525,0.07399103139013453,0.07281001137656427,0.07450523864959255,0.07407407407407407,0.07032967032967033,0.07467911318553092,0.07101947308132875,0.06481481481481481,0.07101947308132875,0.06968641114982578,0.07251461988304093,0.0655367231638418,0.06175771971496437,0.07264472190692395,0.07390300230946882,0.07110091743119266,0.0735632183908046,0.07013574660633484,0.07101947308132875,0.07231638418079096,0.06509539842873176,0.07184241019698726,0.06459054209919261,0.06451612903225806,0.07223476297968397
FAR,2020-01-01 to 2022-01-01,0.21934725080858572,0.22434578065274918,0.21728903263745958,0.2216995001470156,0.2305204351661276,0.22552190532196412,0.22199353131431931,0.21611290796824464,0.2175830638047633,0.2311084975007351,0.21552484563363716,0.22052337547780065,0.21875918847397824,0.22052337547780065,0.21728903263745958,0.21523081446633344,0.22463981182005294,0.21287856512790357,0.2225815936489268,0.21817112613937079,0.2202293443104969,0.21934725080858572,0.22375771831814173,0.22052337547780065,0.22375771831814173,0.22640399882387532,0.2175830638047633,0.21964128197588945,0.21993531314319317,0.22405174948544546
ACC,2020-01-01 to 2022-01-01,0.7692527912968795,0.7643859146865158,0.7706842255940453,0.7666762095619811,0.7575150300601202,0.7635270541082164,0.7666762095619811,0.7724019467506441,0.7709705124534784,0.7578013169195534,0.7729745204695104,0.7678213569997138,0.7686802175780132,0.7678213569997138,0.7706842255940453,0.7729745204695104,0.7632407672487833,0.7738333810478099,0.7661036358431148,0.770397938734612,0.7681076438591469,0.7692527912968795,0.7646722015459491,0.7678213569997138,0.7649584884053822,0.7615230460921844,0.7706842255940453,0.7678213569997138,0.7675350701402806,0.7646722015459491
TSS,2022-01-01 to 2025-01-01,0.3737476341179258,0.3856211672124641,0.3749801925263518,0.38328685230452536,0.36476114058653347,0.38050988397391894,0.37795815164067,0.3754817017144982,0.38706508174278875,0.37766799857442224,0.3861347990074336,0.3782924910994343,0.36900881542724984,0.37470040479829075,0.3770061704578082,0.38264672263541805,0.3788927384108006,0.37611401281155793,0.37387237472342755,0.3775899911275761,0.37469785803215155,0.38139422304812154,0.3805462517943877,0.38333534273181724,0.3754306645210671,0.3711933550185376,0.3766051566615176,0.3701391211751839,0.3808745299497406,0.37634882464959935
HSS,2022-01-01 to 2025-01-01,0.2501563756369255,0.26032028559995635,0.25167587955178966,0.2568449239481433,0.23888649724773905,0.2549840455606051,0.25176366740184986,0.25243160349774163,0.2615654326712058,0.2507244080107624,0.2613112126683855,0.25226350344847265,0.24480348772229574,0.25210600507413133,0.25373781449642896,0.25765666355548345,0.2534002949085389,0.25281665417331134,0.2496886307582347,0.2532873189458364,0.24947448049260076,0.25709879668387875,0.25561375734269143,0.25769109903691595,0.24898596236319748,0.24441900172708048,0.2520888458902124,0.24840705206619274,0.2560165828492287,0.24905008637616116
POD,2022-01-01 to 2025-01-01,0.7701549162187796,0.7726841606070186,0.7688902940246601,0.776794182737907,0.7809042048687954,0.774581093898198,0.7774264938349668,0.7679418273790705,0.7730003161555485,0.7799557382232059,0.7711033828643693,0.776794182737907,0.7736326272526083,0.766677205184951,0.7682579829276004,0.7723680050584888,0.7748972494467278,0.7685741384761302,0.7720518495099589,0.7714195384128991,0.7752134049952577,0.7704710717673096,0.7726841606070186,0.774264938349668,0.7790072715776162,0.7815365159658552,0.7723680050584888,0.7650964274423017,0.7723680050584888,0.7815365159658552
F1,2022-01-01 to 2025-01-01,0.46311787072243343,0.4694583173261621,0.46390081068192657,0.4677772489290814,0.45744976386702474,0.46644455021418374,0.4647953879595501,0.46425840978593275,0.4702375228387345,0.46442018072289154,0.46989692707831615,0.4650326488123403,0.46026521207561366,0.4639372488999426,0.46507177033492825,0.467828418230563,0.4655270655270655,0.4645518822854959,0.4630261660978385,0.46511627906976744,0.46320959667516765,0.4673058485139022,0.4666348448687351,0.46803631151457237,0.46328852119958636,0.4608071581694473,0.4644928225116456,0.46156780469197023,0.46684502197592204,0.4635724331926864
FAR,2022-01-01 to 2025-01-01,0.39640728210085385,0.3870629933945545,0.39391010149830835,0.39350733043338165,0.41614306428226194,0.394071209924279,0.3994683421942968,0.3924601256645723,0.3859352344127598,0.4022877396487836,0.3849685838569357,0.3985016916384727,0.40462381182535845,0.3919768003866602,0.3912518124697922,0.38972128242307075,0.39600451103592715,0.3924601256645723,0.3981794747865313,0.39382954728532305,0.40051554696310615,0.389076848719188,0.3921379088126309,0.3909295956178508,0.4035766070565491,0.41034316094731754,0.3957628483969712,0.3949573062671178,0.3914934751087482,0.4051876913162558
ACC,2022-01-01 to 2025-01-01,0.6374141362264878,0.6453745907427617,0.6391474610001926,0.6410733774154201,0.6238685241060538,0.6401746164216473,0.636451178018874,0.6401104192078064,0.6463375489503755,0.6347178532451692,0.646722732233421,0.6370931501572832,0.6315721897669642,0.6402388136354882,0.6411375746292611,0.6431918854721705,0.6386980805033061,0.6402388136354882,0.6363869808050331,0.6397252359247608,0.6351672337420556,0.6433202798998523,0.6413301662707839,0.6426141105476022,0.6334981061821917,0.6286191179302818,0.6383770944341015,0.6375425306541697,0.6417795467676702,0.6327277396161006
TSS,2020-01-01 to 2025-01-01,0.39988742725629917,0.4086050644136578,0.400446891452776,0.4078022915692339,0.39151683273331767,0.40500157106482254,0.4039816173274609,0.40153075620424905,0.41125183513483726,0.40226612138333345,0.4106099082469005,0.4041348872062874,0.3957148539201103,0.3994255779066035,0.40191907874895644,0.40786416287012905,0.40275205877482195,0.4009974197627814,0.39964411860835225,0.4033926258539478,0.4010812422630521,0.40594867790160133,0.4044407470595349,0.407620854222182,0.4019135423845122,0.3975691474921483,0.4026159807645331,0.3948179628801333,0.40453972171512687,0.40304344637715367
