Metric,Period,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24,Sample_25,Sample_26,Sample_27,Sample_28,Sample_29,Sample_30
TSS,2020-01-01 to 2022-01-01,0.5741415006782323,0.48811308631398587,0.5209181123723852,0.44799029056900125,0.5334832583708147,0.46972942100378384,0.5452987791818376,0.4114371385735704,0.4830441921896194,0.5685371599914328,0.5276647390590419,0.44649104019418867,0.5844934675519384,0.3403655315199543,0.5156707360605411,0.5691083029913615,0.2953880202755765,0.5261654886842293,0.4241807667594774,0.5717141429285357,0.6028414364246448,0.4281073748839866,0.5439780109945027,0.4076890126365389,0.49393160562575855,0.5464053687441993,0.2968872706503891,0.5484757621189406,0.5010351966873705,0.3893053473263368
TSS,2022-01-01 to 2025-01-01,0.355629532754726,0.5039353227915824,0.48303412198311735,0.4476067055046962,0.4970372131732256,0.44282725002972295,0.45292355249078586,0.45522054452502675,0.4413601236476043,0.4343407442634645,0.523999524432291,0.4050315063607181,0.5680917845678279,0.4428557840922602,0.39733919866841044,0.39190108191653783,0.4869623112590655,0.4753132802282725,0.43285221733444296,0.36330757341576503,0.4606943288550708,0.3949352038996552,0.4567590060634883,0.5047509214124362,0.47307335631910596,0.4274355011294733,0.4576459398406848,0.41117821899893,0.4644869813339674,0.4436357151349424
TSS,2020-01-01 to 2025-01-01,0.48798169789453355,0.5892348367780569,0.5802497826926791,0.5231824657137338,0.6047511831176356,0.5102406074946881,0.537862782499517,0.5376937656944176,0.513832214603052,0.539248116669886,0.596258088661387,0.49107229090206683,0.6424872030133282,0.4901396803167858,0.5006489038052927,0.5029245943596677,0.5288626376279698,0.5642263859378018,0.4857422252269654,0.4999305823836198,0.49712369615607493,0.5031690650956152,0.5392360440409503,0.5662757146996329,0.5866180944562488,0.4938369229283369,0.5665775304230249,0.5284491500869228,0.5113422348850686,0.494766515356384
HSS,2020-01-01 to 2022-01-01,0.1267934285624192,0.0891755468311834,0.09742631104583235,0.08396783128822041,0.09644860054339058,0.0939291195260359,0.09521079005759019,0.07453922266054452,0.09336277080171106,0.1058757835818415,0.10064134860224132,0.08332667146321315,0.09340452476298046,0.07204763380004987,0.09501072043986689,0.09916836166626236,0.054540181778636065,0.0999159458799924,0.07967734797739022,0.11565569035239746,0.11548771814650692,0.08762649325978154,0.10130225817816807,0.07309673909565106,0.08572419817486819,0.11027859628394199,0.055051397631671266,0.1034728909780259,0.10231215558212088,0.07626466762702619
HSS,2022-01-01 to 2025-01-01,0.274339464821595,0.408278460821219,0.38631229033705816,0.35852765223154853,0.4045719970503245,0.3476631850130212,0.35926109647278054,0.3604263899374385,0.34977029211907873,0.34048875053591066,0.4263855673454225,0.31618416851671727,0.47332259540805105,0.34894413498884275,0.31064342400993455,0.30465933919678806,0.39330736788734993,0.3793244789561475,0.3415770985949321,0.2793549507711154,0.3685586180264532,0.30520141566121156,0.3615349000033878,0.4113634469781386,0.38102926221078215,0.3362866625010757,0.36769647841445546,0.320312456585243,0.3687692086961118,0.3499809600273125
HSS,2020-01-01 to 2025-01-01,0.5257019487603011,0.6094224331010372,0.6073471270322908,0.5487381191684011,0.6316995777025696,0.5428898979454211,0.5617588278683874,0.5635247619333809,0.5428284010273269,0.5724877879973918,0.6234648648733943,0.5195892617921176,0.6547320084335108,0.5201497700280578,0.5310269100501323,0.5339252556550104,0.5587070093852778,0.5908022147498293,0.5124253761044336,0.5310223336437677,0.5212728081182739,0.5340461893542492,0.5660838872800319,0.5878318681112107,0.6167747708867508,0.522717253100421,0.5957039679114519,0.5603686930918053,0.540546921611731,0.5277297127634746
POD,2020-01-01 to 2022-01-01,0.8095238095238095,0.7857142857142857,0.8095238095238095,0.7380952380952381,0.8333333333333334,0.7380952380952381,0.8571428571428571,0.7142857142857143,0.7619047619047619,0.8571428571428571,0.8095238095238095,0.7380952380952381,0.9285714285714286,0.5952380952380952,0.8095238095238095,0.8809523809523809,0.5952380952380952,0.8095238095238095,0.7142857142857143,0.8333333333333334,0.8809523809523809,0.6904761904761905,0.8333333333333334,0.7142857142857143,0.8095238095238095,0.8095238095238095,0.5952380952380952,0.8333333333333334,0.7619047619047619,0.6666666666666666
POD,2022-01-01 to 2025-01-01,0.38639876352395675,0.5193199381761978,0.490726429675425,0.4814528593508501,0.5247295208655333,0.44590417310664604,0.4667697063369397,0.46445131375579596,0.4613601236476043,0.44049459041731065,0.5332302936630603,0.4234930448222566,0.5865533230293664,0.4520865533230294,0.4234930448222566,0.41190108191653785,0.508500772797527,0.4845440494590417,0.45131375579598143,0.38330757341576505,0.48377125193199383,0.4026275115919629,0.46445131375579596,0.5293663060278208,0.4992272024729521,0.44435857805255025,0.4899536321483771,0.42194744976816073,0.4721792890262751,0.45440494590417313
POD,2020-01-01 to 2025-01-01,0.5172155688622755,0.6729041916167665,0.6392215568862275,0.6002994011976048,0.6586826347305389,0.5591317365269461,0.6190119760479041,0.6107784431137725,0.5778443113772455,0.5815868263473054,0.6511976047904192,0.5606287425149701,0.7402694610778443,0.5531437125748503,0.5606287425149701,0.5598802395209581,0.5868263473053892,0.6287425149700598,0.5643712574850299,0.5568862275449101,0.5853293413173652,0.5606287425149701,0.6077844311377245,0.6504491017964071,0.6324850299401198,0.561377245508982,0.6205089820359282,0.5778443113772455,0.5748502994011976,0.5441616766467066
F1,2020-01-01 to 2022-01-01,0.17435897435897435,0.13983050847457626,0.1475054229934924,0.13478260869565217,0.14675052410901468,0.14385150812064965,0.145748987854251,0.12605042016806722,0.14349775784753363,0.15550755939524838,0.1504424778761062,0.1341991341991342,0.14444444444444443,0.12285012285012285,0.1452991452991453,0.1494949494949495,0.10706638115631692,0.14977973568281938,0.13071895424836602,0.1643192488262911,0.16444444444444445,0.1377672209026128,0.1511879049676026,0.12474012474012475,0.13682092555331993,0.1592505854800937,0.10752688172043011,0.15317286652078774,0.15165876777251186,0.12727272727272726
