Metric,Period,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24,Sample_25,Sample_26,Sample_27,Sample_28,Sample_29,Sample_30
TSS,2020-01-01 to 2022-01-01,0.5504984768762116,0.523239176590049,0.5865918951352349,0.5262992707467922,0.45020769869842153,0.42770700636942677,0.2718822117603619,0.35306470968337483,0.5457398689190436,0.4207467922089911,0.41742822856087886,0.5312194221360658,0.5093925966952829,0.36750207698698417,0.3900904643219792,0.3912766546662974,0.5160251084648759,0.2975260777254685,0.5684159512600389,0.39968614418905196,0.4953890888950429,0.362489615065079,0.3662281916366657,0.485368780577864,0.16879442444382903,0.28130711714206597,0.3743792116680514,0.45258469491368963,0.1565586633434875,0.5216283577956244
TSS,2022-01-01 to 2025-01-01,0.5245881814111701,0.5108161238363327,0.5227808625933379,0.5393292541722202,0.5836780378857663,0.5584275502904987,0.5224113708760247,0.5132090715877337,0.5297121772736864,0.4935652863046197,0.5705142521909623,0.5566114830615322,0.571884150452087,0.5472872206297826,0.5065077886589715,0.5406538665404151,0.4906896321035812,0.5335517005367407,0.5803613608410826,0.47563824805347854,0.466737511643106,0.5303204491537199,0.5402931232342361,0.5382156328960843,0.4962284055763402,0.5016591104409713,0.4498927033105017,0.5174319811034319,0.5390050483478368,0.515525342088606
TSS,2020-01-01 to 2025-01-01,0.5610972037000923,0.5950047007068268,0.5791613240464054,0.5892743070887618,0.6214438009995873,0.618370235579805,0.5409681452847998,0.5527390028200816,0.5628150034302918,0.5275191242834012,0.5816975313028038,0.5998603570756552,0.6217265625120385,0.5830338640940135,0.5759953025462576,0.5907736365253566,0.5088947029685764,0.5828180476323453,0.6128962363697907,0.533213391544138,0.5205748165731291,0.5373740007680703,0.5822234180636239,0.5557253342158893,0.5081600195595974,0.5455480599546862,0.49436129199496415,0.5639804636877889,0.5501033196698085,0.5809302314432514
HSS,2020-01-01 to 2022-01-01,0.11009065072656267,0.10345074602894322,0.1287373576989328,0.11432581875786424,0.08556585997452551,0.088301043219076,0.05813650521694847,0.07591964298563338,0.09966658392024988,0.09619895969751237,0.07748988964288163,0.09880526107496457,0.08807259355493595,0.08216116375118343,0.08721117110330898,0.08026070005387069,0.11590726133561549,0.06051150631051784,0.1123827435778454,0.08894106457922822,0.10847272971663241,0.07532405253895104,0.08159057770575279,0.10664449131916275,0.04078437232872175,0.05813915220890717,0.08023260759683988,0.08426127982930683,0.029755325606773547,0.11191459253754178
HSS,2022-01-01 to 2025-01-01,0.38703728734277565,0.3728856154986995,0.3830181835731015,0.403799459201625,0.4485095933313298,0.4177855565984925,0.38316874062040457,0.3749062051231927,0.3927745856631869,0.3585906888403673,0.4322470644930373,0.41681683093532945,0.43246548965156534,0.40460572119902455,0.3678601381665204,0.4013342613468369,0.3508906281279808,0.3959887161875197,0.4469057584444425,0.3415936614846046,0.3303359270628308,0.39206230240406015,0.3983302728624761,0.39657927406835536,0.35850609694888586,0.36713957517324497,0.32108519535734775,0.38218062260063096,0.4067557019196042,0.3761172489038702
HSS,2020-01-01 to 2025-01-01,0.5679919188358278,0.6027159489516376,0.5882538301253457,0.5973657202752269,0.6268446457009592,0.6260552513702423,0.5493619933995735,0.5612843599570022,0.5694160039837841,0.5363289904249098,0.5884387063184735,0.6060920489656775,0.6280641040791677,0.5912687484828796,0.584657005902201,0.5986867503682279,0.5176378572108715,0.5904775294615288,0.6178908961733863,0.5422086812371733,0.5300118519329423,0.5451073928478061,0.5904059780562749,0.5636135300739915,0.516660922778953,0.5534144161414724,0.5021990990714036,0.5704296487119924,0.5567859829392051,0.5888174171202375
POD,2020-01-01 to 2022-01-01,0.8804347826086957,0.8586956521739131,0.8804347826086957,0.8260869565217391,0.8043478260869565,0.75,0.5869565217391305,0.6630434782608695,0.9130434782608695,0.7065217391304348,0.782608695652174,0.8913043478260869,0.9021739130434783,0.6630434782608695,0.6847826086956522,0.717391304347826,0.8043478260869565,0.6304347826086957,0.9021739130434783,0.6956521739130435,0.7934782608695652,0.6847826086956522,0.6630434782608695,0.782608695652174,0.44565217391304346,0.6086956521739131,0.6847826086956522,0.8152173913043478,0.5217391304347826,0.8260869565217391
POD,2022-01-01 to 2025-01-01,0.5441640378548895,0.5271293375394321,0.5350157728706625,0.5662460567823344,0.6097791798107256,0.5706624605678233,0.5362776025236593,0.5287066246056782,0.5517350157728707,0.516403785488959,0.5892744479495268,0.5712933753943218,0.5873817034700315,0.5529968454258675,0.5195583596214511,0.5561514195583597,0.49558359621451104,0.5539432176656152,0.6113564668769716,0.4968454258675079,0.4757097791798107,0.5482649842271293,0.5476340694006309,0.546372239747634,0.5100946372239747,0.5277602523659306,0.48170347003154573,0.5435331230283912,0.5757097791798107,0.5277602523659306
POD,2020-01-01 to 2025-01-01,0.6404046597179645,0.65113427345187,0.6143470263641937,0.6400980993255672,0.7096873083997548,0.6689147762109136,0.5962599632127529,0.6030042918454935,0.6471489883507051,0.5769466584917229,0.6584917228694053,0.680564071122011,0.6940527283874923,0.6327406499080319,0.6195585530349479,0.6443899448191294,0.5622317596566524,0.6428571428571429,0.710913549969344,0.5781729000613121,0.5585530349478848,0.6060698957694666,0.6330472103004292,0.617719190680564,0.5665236051502146,0.6100551808706315,0.5683629675045984,0.6508277130594727,0.6361128142244022,0.6373390557939914
F1,2020-01-01 to 2022-01-01,0.1705263157894737,0.16441207075962538,0.18728323699421964,0.17391304347826086,0.148,0.15,0.12162162162162163,0.13816534541336353,0.16138328530259366,0.1566265060240964,0.140625,0.16046966731898238,0.1509090909090909,0.143698468786808,0.14840989399293286,0.14254859611231102,0.17514792899408285,0.12419700214132762,0.17273673257023933,0.15005861664712777,0.16839677047289503,0.13785557986870897,0.1431924882629108,0.16666666666666666,0.10445859872611465,0.12187159956474429,0.14221218961625282,0.14691478942213515,0.096,0.17175141242937852
