Metric,Period,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24,Sample_25,Sample_26,Sample_27,Sample_28,Sample_29,Sample_30
TSS,2020-01-01 to 2022-01-01,0.2299864314789688,0.350067842605156,0.2515022291141694,0.38476448924210116,0.33494863345609616,0.2564935064935065,0.3490017445241326,0.2700135685210312,0.3474025974025974,0.2419073463849583,0.34846869548362086,0.29172320217096337,0.21806551657297926,0.2689474704400078,0.2689474704400078,0.2456386896685404,0.2500969180073658,0.32409381663113,0.24030819926342314,0.30737546036053504,0.28513277767009115,0.2342508238030626,0.23531692188408607,0.2564935064935065,0.2456386896685404,0.2511630160883892,0.376041868579182,0.2607578988176003,0.2710796666020547,0.24457259158751699
TSS,2022-01-01 to 2025-01-01,0.6904373179797348,0.7019328810075367,0.7016598955088139,0.7013869100100909,0.7029395748993186,0.6897974782844825,0.6912136504243487,0.7093719753087011,0.6965028641925879,0.7062240214786907,0.6964133057921297,0.7028969508477636,0.6902538908814702,0.7053111962847153,0.7027561478010539,0.7025300966512342,0.7016642058061621,0.7036689729950293,0.7015277130568006,0.7076401936185569,0.6965071744899362,0.6965924225930461,0.6973687550376599,0.7096918951563272,0.6993308981749722,0.6960933859445034,0.692988056166048,0.695999517246697,0.6994247668727787,0.6999281138186697
TSS,2020-01-01 to 2025-01-01,0.640727835849787,0.648679305978705,0.6497434919138702,0.6492876126138764,0.6517582446355864,0.6400246128065146,0.6475202036354387,0.6511461974523127,0.643646866075286,0.6477899906673324,0.6469081564521649,0.6521879400988627,0.6394962603870346,0.6484969542587075,0.6473490735597487,0.6513173275280026,0.6472466760554424,0.6521154669793765,0.6494550021414638,0.6536967836897141,0.6498159650333564,0.6395986578913408,0.6417158081173634,0.6513210680761052,0.6416246322573647,0.6386106856237644,0.6422404199887409,0.6409214092140921,0.6462049334088924,0.647436508871645
HSS,2020-01-01 to 2022-01-01,0.11853294871314576,0.1787012987012987,0.13617758186397985,0.18977735817488678,0.16936817730731063,0.13177155945030872,0.177031611031906,0.13871738697470623,0.17456626285992574,0.12348794063079778,0.17620465321424633,0.14522471232480158,0.11348161597821153,0.137291280148423,0.137291280148423,0.12824632199466168,0.123735315272117,0.16650069707229637,0.1215128459587606,0.15493783433889446,0.147904229246528,0.12391217974187099,0.1253015778812783,0.13177155945030872,0.12824632199466168,0.1250331700962536,0.1907477508480409,0.13748083801737354,0.14016186013880885,0.12686482749952868
HSS,2022-01-01 to 2025-01-01,0.5997592058619311,0.6064653132024006,0.607162542198543,0.6078619208030269,0.6107767736093552,0.5979714904314215,0.6012076890200774,0.6149402262249005,0.6014657044190327,0.6126836872737668,0.6033964852527259,0.614379596602057,0.5985209584866734,0.6115771874789767,0.6095183779196628,0.6118393858995305,0.6123500619208374,0.6106241030941459,0.6127064968875408,0.6159717454135698,0.6065939721954701,0.5995477323343763,0.6009826233169976,0.6158506252002648,0.6028275804272251,0.6025002704798873,0.596750027528509,0.5993432749399012,0.6060057189023791,0.6081601468773173
HSS,2020-01-01 to 2025-01-01,0.6509441692604948,0.6595497116794142,0.6609843021091848,0.6594939744731374,0.6619446560281734,0.6504319547180498,0.6575527902976721,0.6617343857433323,0.6543456818878625,0.6581773948851065,0.6573398166604784,0.6615586004752352,0.6499816440514252,0.6589542344853996,0.6577586243756761,0.6615262201476598,0.6566628211015267,0.6626016627099826,0.6590201937483928,0.6636777495063041,0.6599427182273848,0.6510693376886295,0.6531372601274245,0.6617944896542648,0.6528411208773068,0.6488797207627809,0.653322368327177,0.6523287222722436,0.6568295004726421,0.6577890268419393
POD,2020-01-01 to 2022-01-01,0.33766233766233766,0.45454545454545453,0.35064935064935066,0.4935064935064935,0.44155844155844154,0.36363636363636365,0.45454545454545453,0.37662337662337664,0.45454545454545453,0.35064935064935066,0.45454545454545453,0.4025974025974026,0.3246753246753247,0.37662337662337664,0.37662337662337664,0.35064935064935066,0.36363636363636365,0.42857142857142855,0.35064935064935066,0.4155844155844156,0.38961038961038963,0.33766233766233766,0.33766233766233766,0.36363636363636365,0.35064935064935066,0.36363636363636365,0.4805194805194805,0.36363636363636365,0.37662337662337664,0.35064935064935066
POD,2022-01-01 to 2025-01-01,0.7439525330899133,0.7407576449109995,0.7425832952989503,0.744408945686901,0.7480602464628023,0.7412140575079872,0.745778183477864,0.747147421268827,0.7384755819260611,0.747147421268827,0.7425832952989503,0.7553628480146052,0.7416704701049749,0.7462345960748517,0.745778183477864,0.7507987220447284,0.7530807850296668,0.7466910086718394,0.7539936102236422,0.7517115472387038,0.7489730716567777,0.734367868553172,0.7361935189411227,0.74851665905979,0.7371063441350981,0.7412140575079872,0.7339114559561843,0.7348242811501597,0.7434961204929256,0.747147421268827
POD,2020-01-01 to 2025-01-01,0.7301587301587301,0.7310405643738977,0.7292768959435626,0.7358906525573192,0.7376543209876543,0.7283950617283951,0.7358906525573192,0.7345679012345679,0.7288359788359788,0.7336860670194003,0.7328042328042328,0.7433862433862434,0.7275132275132276,0.7336860670194003,0.7332451499118166,0.7372134038800705,0.7398589065255732,0.7358906525573192,0.7402998236331569,0.7402998236331569,0.7367724867724867,0.7208994708994709,0.722663139329806,0.7354497354497355,0.7239858906525574,0.7283950617283951,0.7253086419753086,0.7222222222222222,0.7310405643738977,0.7336860670194003
F1,2020-01-01 to 2022-01-01,0.17049180327868851,0.22727272727272727,0.18620689655172415,0.23824451410658307,0.21864951768488747,0.1830065359477124,0.22580645161290322,0.1895424836601307,0.22364217252396165,0.17532467532467533,0.22508038585209003,0.1962025316455696,0.16556291390728478,0.18831168831168832,0.18831168831168832,0.17940199335548174,0.1761006289308176,0.21568627450980393,0.17363344051446947,0.20512820512820512,0.19801980198019803,0.1750841750841751,0.17627118644067796,0.1830065359477124,0.17940199335548174,0.17721518987341772,0.23870967741935484,0.18791946308724833,0.19078947368421054,0.1782178217821782
F1,2022-01-01 to 2025-01-01,0.8419421487603306,0.8428979485847832,0.8436608763287529,0.8444214341185607,0.8463723211980377,0.8405797101449275,0.8429197833376322,0.8473084886128365,0.8407378539880488,0.8466511507628652,0.8425686172967375,0.8495893223819302,0.8408796895213454,0.8460543337645536,0.8453181583031557,0.8475012879958784,0.8483290488431876,0.8459152016546019,0.8487027998972515,0.8489690721649484,0.8454404945904173,0.8388946819603754,0.8398854464983078,0.8479834539813857,0.8407079646017699,0.8418869880767237,0.8379364252214695,0.8389786347055758,0.84360435007768,0.8453395300800413
