Metric,Period,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24,Sample_25,Sample_26,Sample_27,Sample_28,Sample_29,Sample_30
TSS,2020-01-01 to 2022-01-01,0.13070015658453965,-0.03297862141693031,0.005784041159364706,0.08417217908158373,0.05921452081935255,0.04540951650528871,-0.02435049372064041,-0.02866455756878536,0.12034640334899177,-0.03125299587767233,-0.03556705972581728,0.1970089157319528,-0.03039018310804334,0.0031956028504777356,0.11258108842233086,-0.09583612948582751,0.03850701434825679,0.12379765442750773,-0.03125299587767233,0.004058415620106726,0.05058639312306265,0.09021186846898666,-0.02262486818138243,0.006646853928993696,0.006646853928993696,0.03850701434825679,0.008372479468251676,-0.02262486818138243,-0.03729268526507526,-0.03297862141693031
TSS,2022-01-01 to 2025-01-01,0.6769525705810473,0.6790220385275141,0.688279497174436,0.6838720819195839,0.6805690601480845,0.6849068158928172,0.6780221343093406,0.6908264230131802,0.6840810604499423,0.691652178456055,0.6943035935599783,0.6865234970235072,0.6856977415806323,0.6746494530277216,0.6866976457988059,0.6829766669665895,0.680638719658204,0.6907219337480008,0.6756145274908354,0.6848719861377575,0.6712071122359832,0.6907915932581205,0.6831508157418883,0.6840462306948827,0.6858370606008714,0.6849068158928172,0.6865234970235072,0.6854887630502738,0.6772660383765852,0.687349252466382
TSS,2020-01-01 to 2025-01-01,0.6255126905307786,0.6246697274483374,0.6292359374939994,0.6262327615009736,0.6344636527376138,0.6306477566428947,0.6250912089895581,0.6315190425168304,0.6331708853224574,0.6295364471122274,0.631428313574586,0.6346431904328491,0.6264425421769569,0.6185121605585446,0.6316683372313175,0.6234998521454275,0.6229876416619623,0.6344031667761175,0.6235584179176701,0.6258415229405011,0.6228383469474751,0.6380678479670956,0.6301677093294316,0.6278241183451041,0.6317288231928139,0.6260815465972327,0.6281548709440802,0.6249116712943228,0.619022450852756,0.6241896801348741
HSS,2020-01-01 to 2022-01-01,0.039211174705436835,-0.009195320366030775,0.0016209197152196302,0.023952640337555814,0.018260295436404308,0.012855889191463183,-0.00715016280226328,-0.008199193791647243,0.03389769484873851,-0.008802959522587962,-0.009769242247364586,0.05577519835705174,-0.008603765391331095,0.0008821220327620123,0.030320243043901095,-0.02890853182444742,0.010472705782150338,0.03559516699591124,-0.008802959522587962,0.0011259164694096475,0.014775474392600128,0.02663081930097637,-0.00671478295507355,0.0018722040702436565,0.0018722040702436565,0.010472705782150338,0.002382532941700692,-0.00671478295507355,-0.010142446180721531,-0.009195320366030775
HSS,2022-01-01 to 2025-01-01,0.6120122149222791,0.6213044191276208,0.6281139497000278,0.6208169916988668,0.6196766022223191,0.6255074545958189,0.6173575571139186,0.6304382375144026,0.6252248213366722,0.6307165193961667,0.635287025190601,0.6253333641774373,0.6250513444812867,0.6147488521676576,0.6290405131443385,0.6190759953748466,0.6211410862569033,0.6282125653600271,0.6179530983071906,0.6247688999006427,0.6106931310127736,0.6296946714846146,0.6227296809796229,0.6244860294745991,0.62801466293781,0.6255074545958189,0.6253333641774373,0.6206562165550109,0.6185293326317659,0.6256149599471112
HSS,2020-01-01 to 2025-01-01,0.6365226643010391,0.6316692111094661,0.6369829229664986,0.6354204745964153,0.6443906180142045,0.6384121240571816,0.6340882867181818,0.6396441426832832,0.6407033778409263,0.6375487767438027,0.6382418853606658,0.6430725415253505,0.6345891857339006,0.6262127817997615,0.6378746012817157,0.6339513418928779,0.6301404916381886,0.6434460710898351,0.630804042636936,0.6334600618199195,0.6318896170972522,0.6470743016459252,0.639150240621038,0.6355537218758155,0.638807404692616,0.633096849826096,0.6365852104141927,0.6353868268266314,0.6259586562429461,0.6323935948765238
POD,2020-01-01 to 2022-01-01,0.25925925925925924,0.1111111111111111,0.14814814814814814,0.2222222222222222,0.18518518518518517,0.18518518518518517,0.1111111111111111,0.1111111111111111,0.25925925925925924,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.14814814814814814,0.25925925925925924,0.037037037037037035,0.18518518518518517,0.25925925925925924,0.1111111111111111,0.14814814814814814,0.18518518518518517,0.2222222222222222,0.1111111111111111,0.14814814814814814,0.14814814814814814,0.18518518518518517,0.14814814814814814,0.1111111111111111,0.1111111111111111,0.1111111111111111
POD,2022-01-01 to 2025-01-01,0.7444061962134251,0.7633390705679862,0.7624784853700516,0.7530120481927711,0.7564543889845095,0.7624784853700516,0.7555938037865749,0.7633390705679862,0.7633390705679862,0.7624784853700516,0.7685025817555938,0.7590361445783133,0.7598967297762479,0.7555938037865749,0.7676419965576592,0.7504302925989673,0.7598967297762479,0.7581755593803786,0.7616179001721171,0.7607573149741824,0.7521514629948365,0.7616179001721171,0.7590361445783133,0.7616179001721171,0.7667814113597247,0.7624784853700516,0.7590361445783133,0.7495697074010327,0.7598967297762479,0.7581755593803786
POD,2020-01-01 to 2025-01-01,0.7333894028595458,0.7485281749369218,0.7485281749369218,0.7409587888982339,0.7434819175777965,0.7493692178301093,0.7409587888982339,0.7485281749369218,0.751892346509672,0.7476871320437343,0.7535744322960471,0.7493692178301093,0.7451640033641715,0.7417998317914214,0.7560975609756098,0.7342304457527334,0.7468460891505467,0.7468460891505467,0.7468460891505467,0.7468460891505467,0.7392767031118587,0.7493692178301093,0.744322960470984,0.7476871320437343,0.7527333894028595,0.7493692178301093,0.7451640033641715,0.735071488645921,0.7451640033641715,0.7434819175777965
F1,2020-01-01 to 2022-01-01,0.07650273224043716,0.030456852791878174,0.04081632653061224,0.06217616580310881,0.056179775280898875,0.05154639175257732,0.03208556149732621,0.03125,0.07179487179487179,0.03076923076923077,0.03,0.09278350515463918,0.030927835051546393,0.04020100502512563,0.06862745098039216,0.01098901098901099,0.04950495049504951,0.07329842931937172,0.03076923076923077,0.04040404040404041,0.05319148936170213,0.06451612903225806,0.032432432432432434,0.041025641025641026,0.041025641025641026,0.04950495049504951,0.04145077720207254,0.032432432432432434,0.0297029702970297,0.030456852791878174
F1,2022-01-01 to 2025-01-01,0.8369617803580067,0.845164363982849,0.847036328871893,0.8421559191530318,0.8427612655800575,0.8462273161413563,0.8418024928092043,0.8479923518164436,0.8463740458015268,0.8478468899521531,0.8508813720819438,0.8452323909918543,0.845380564863571,0.8409961685823755,0.8487155090390105,0.840887174541948,0.844168260038241,0.8458953432549208,0.8436606291706387,0.8455284552845529,0.8387715930902111,0.8472953566299665,0.8444231689803734,0.8456760630673674,0.8481675392670157,0.8462273161413563,0.8452323909918543,0.8411395461129889,0.8433619866284623,0.8450839328537171
F1,2020-01-01 to 2025-01-01,0.7751111111111111,0.7752613240418118,0.777972027972028,0.7758696609423161,0.7809187279151943,0.7788461538461539,0.7751869775626925,0.7793345008756567,0.7804452204277608,0.7781181619256018,0.779469334493258,0.7812362998684788,0.7761717038983793,0.7713161346742458,0.779705117085863,0.773936170212766,0.7741935483870968,0.7810026385224275,0.7745311818578282,0.7758846657929227,0.7737676056338029,0.7832967032967033,0.7783641160949868,0.7770979020979021,0.7796167247386759,0.7761324041811847,0.7771929824561403,0.774822695035461,0.7717770034843205,0.7747589833479404
FAR,2020-01-01 to 2022-01-01,0.1285591026747196,0.14408973252804141,0.14236410698878343,0.13805004314063848,0.12597066436583262,0.13977566867989646,0.13546160483175151,0.13977566867989646,0.13891285591026747,0.14236410698878343,0.14667817083692838,0.1363244176013805,0.14150129421915444,0.1449525452976704,0.14667817083692838,0.13287316652286454,0.14667817083692838,0.13546160483175151,0.14236410698878343,0.14408973252804141,0.13459879206212252,0.13201035375323555,0.13373597929249353,0.14150129421915444,0.14150129421915444,0.14667817083692838,0.13977566867989646,0.13373597929249353,0.14840379637618636,0.14408973252804141
FAR,2022-01-01 to 2025-01-01,0.06745362563237774,0.08431703204047218,0.07419898819561552,0.06913996627318718,0.07588532883642496,0.0775716694772344,0.0775716694772344,0.07251264755480608,0.07925801011804384,0.07082630691399663,0.07419898819561552,0.07251264755480608,0.07419898819561552,0.08094435075885328,0.08094435075885328,0.06745362563237774,0.07925801011804384,0.06745362563237774,0.08600337268128162,0.07588532883642496,0.08094435075885328,0.07082630691399663,0.07588532883642496,0.0775716694772344,0.08094435075885328,0.0775716694772344,0.07251264755480608,0.06408094435075885,0.08263069139966273,0.07082630691399663
FAR,2020-01-01 to 2025-01-01,0.10787671232876712,0.12385844748858447,0.11929223744292237,0.11472602739726027,0.10901826484018265,0.1187214611872146,0.1158675799086758,0.11700913242009132,0.1187214611872146,0.11815068493150685,0.12214611872146118,0.11472602739726027,0.1187214611872146,0.1232876712328767,0.12442922374429223,0.11073059360730593,0.12385844748858447,0.11244292237442922,0.1232876712328767,0.12100456621004566,0.11643835616438356,0.1113013698630137,0.1141552511415525,0.11986301369863013,0.12100456621004566,0.1232876712328767,0.11700913242009132,0.11015981735159817,0.12614155251141554,0.11929223744292237
ACC,2020-01-01 to 2022-01-01,0.857504215851602,0.8389544688026982,0.8414839797639123,0.8473861720067454,0.8583473861720068,0.8448566610455311,0.8473861720067454,0.8431703204047217,0.8473861720067454,0.8406408094435076,0.836424957841484,0.851602023608769,0.8414839797639123,0.8389544688026982,0.8397976391231029,0.8482293423271501,0.8381112984822934,0.8507588532883642,0.8406408094435076,0.8397976391231029,0.8499156829679595,0.8532883642495784,0.8490725126475548,0.842327150084317,0.842327150084317,0.8381112984822934,0.8440134907251264,0.8490725126475548,0.8347386172006745,0.8389544688026982
ACC,2022-01-01 to 2025-01-01,0.807977207977208,0.8148148148148148,0.8176638176638177,0.8131054131054131,0.8131054131054131,0.8165242165242165,0.811965811965812,0.8188034188034188,0.8165242165242165,0.8188034188034188,0.8216524216524217,0.815954415954416,0.815954415954416,0.8108262108262109,0.8188034188034188,0.811965811965812,0.8142450142450143,0.8170940170940171,0.8131054131054131,0.815954415954416,0.8085470085470086,0.8182336182336183,0.8148148148148148,0.815954415954416,0.8182336182336183,0.8165242165242165,0.815954415954416,0.8125356125356126,0.8131054131054131,0.815954415954416
ACC,2020-01-01 to 2025-01-01,0.8279496769806188,0.8245494729683781,0.8272696361781707,0.8269296157769466,0.8313498809928596,0.8279496769806188,0.8262495749744985,0.8286297177830669,0.8289697381842911,0.8276096565793948,0.8276096565793948,0.8303298197891874,0.8262495749744985,0.8221693301598096,0.8272696361781707,0.8265895953757225,0.82386943216593,0.8306698401904115,0.824209452567154,0.8255695341720504,0.8252295137708262,0.8323699421965318,0.8286297177830669,0.8265895953757225,0.8279496769806188,0.8252295137708262,0.8272696361781707,0.8272696361781707,0.8218293097585855,0.8252295137708262
