Metric,Period,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24,Sample_25,Sample_26,Sample_27,Sample_28,Sample_29,Sample_30
TSS,2020-01-01 to 2022-01-01,0.4359052867932231,0.4773540911017948,0.37664279994347355,0.4233713316689434,0.3577496192315543,0.2943614866456262,0.2945616844882001,0.4183624601567038,0.5006476989024449,0.43068836654262255,0.4925887543768744,0.40441926923862015,0.46319500054956275,0.4587278408466406,0.1345250993138317,0.2713387347496349,0.1895245497511266,0.4562901377047121,0.39709830891704745,0.42167946362679987,0.2755389639957919,0.3319476502268909,0.41532023803916024,0.30851665174996473,0.25819633520184654,0.5702027101292257,0.3947979964513951,0.4692244885141395,0.38084695463752416,0.481958641480993
TSS,2022-01-01 to 2023-01-01,0.39357210576508217,0.3310365530982657,0.368001273403324,0.3565825317547972,0.34207271523937055,0.3100561163153404,0.32654333829942017,0.3553795007197801,0.37179579190467354,0.35055313456885107,0.39844315273439623,0.3651232701890976,0.33788807734249665,0.3924028645989688,0.3386792070830267,0.3950574637212699,0.3307218325837661,0.3540390761682289,0.30972603676952093,0.36493337671096115,0.3939962942846252,0.34045471110360226,0.38425420034599717,0.37157210855763334,0.3639492816860307,0.4240030941466732,0.39620967032537413,0.37251152276417876,0.4193881241177284,0.3640727124468194
TSS,2023-01-01 to 2025-01-01,0.3814290706219229,0.37090616234963414,0.34667304765994267,0.3647241419842969,0.3731525705087763,0.3646131276275952,0.3293970547744569,0.3713428898969473,0.34247715809643825,0.3426214900872042,0.3667901018373476,0.36734250821013137,0.35151170101981283,0.3616459924083772,0.35647136402660407,0.34529076565788874,0.32688237302583023,0.3524627195665403,0.34779585192790485,0.359787934591887,0.31970588791894594,0.34026006945527265,0.34851218106028437,0.333050666525933,0.33354923160206906,0.36481276689090764,0.39960903755483745,0.37213584958767426,0.3866219570671633,0.38267528340645895
TSS,2020-01-01 to 2025-01-01,0.41720586127515075,0.39032766998122254,0.37565792659744507,0.38964662922384585,0.3735942240052633,0.3919625425791016,0.35202505460873046,0.3979792472158884,0.39387806034899403,0.37324562955801943,0.3862062286900807,0.40296768541043343,0.37163096250001715,0.38996858168907494,0.36833426572122985,0.37634719622388435,0.35872543975891014,0.38379746762013356,0.37179138470976403,0.37223419563407817,0.35787204900534314,0.3795078477990985,0.3836041788185065,0.3701387344957516,0.37060887178326984,0.4040390515728155,0.4215301401149904,0.4043532477178983,0.4139874446685956,0.40772385766513775
HSS,2020-01-01 to 2022-01-01,0.09506337501262706,0.09891148965071282,0.09208519721025492,0.10404214433721644,0.08444179246087191,0.06880024368358567,0.07390791329493432,0.09667926671184178,0.11061285500747384,0.09873189220903801,0.10866484499243807,0.07949030530758369,0.10695340332857323,0.10011672860064896,0.04153108772184957,0.05930960337137123,0.0464555969993077,0.09890711126465028,0.0900951850821041,0.10069204573894606,0.05844543778291516,0.07758514704506128,0.08562443147423385,0.07033136566466648,0.06201575968716337,0.11663323097206538,0.0852555764228583,0.10327232639632852,0.08249140714508905,0.10110777318813369
HSS,2022-01-01 to 2023-01-01,0.23129573229272213,0.19241161708590526,0.24660436104425232,0.23269018401554054,0.2189614130396895,0.18723651612661696,0.20534191692634318,0.2072203188911758,0.2188111479653803,0.21565403136626612,0.237642619432402,0.1855189405290544,0.2073194636254288,0.25216000327318083,0.2616268346366192,0.23909422643122355,0.20900919089812006,0.21658240018368022,0.18580820449984495,0.23152049050503962,0.2270787922526716,0.20991313028666334,0.2152731636228237,0.2272235998614031,0.23488589537670096,0.25353137132122733,0.24103427989257156,0.20969528680899788,0.23746599632276438,0.22355261492813103
HSS,2023-01-01 to 2025-01-01,0.3463224657300526,0.33021609694714915,0.3362100987896414,0.34416916897089933,0.35827284360243244,0.33012830587650843,0.32095124405449743,0.34329858561008353,0.3089657190619367,0.31856581493465297,0.34630564028125754,0.32013031610808207,0.33550473040961437,0.34233634374233807,0.36303400796781604,0.31610449220435916,0.3169815548899576,0.3300686310708807,0.32883396096226186,0.3543951404322123,0.2821324858035468,0.3233530294989082,0.31535416570319513,0.3097987903370767,0.320037778502812,0.3369052741336463,0.364990367586156,0.33372442464221835,0.3457928273726725,0.3634236062827082
HSS,2020-01-01 to 2025-01-01,0.3227712345235911,0.29696431312759985,0.3178456536103626,0.31684225915324504,0.3113887151441627,0.30366680794753753,0.29198634278892655,0.3082010922604842,0.296948437084054,0.29288522976340575,0.31263773784656573,0.2882802404246337,0.2965970332656353,0.31878697888884455,0.3399003988793479,0.2913048508257451,0.2978594932514216,0.3032419098317266,0.2963726275115979,0.30902156357578797,0.26549990947558927,0.30326994081816866,0.29025087334400795,0.2913475341533988,0.30618433043817356,0.3169958294094938,0.324779608948046,0.30302223505332637,0.30710683181502585,0.3248783004644244
POD,2020-01-01 to 2022-01-01,0.7246376811594203,0.782608695652174,0.6304347826086957,0.6739130434782609,0.6231884057971014,0.5652173913043478,0.5434782608695652,0.6884057971014492,0.782608695652174,0.7028985507246377,0.7753623188405797,0.7318840579710145,0.7318840579710145,0.7463768115942029,0.3333333333333333,0.5652173913043478,0.4492753623188406,0.7463768115942029,0.6739130434782609,0.6811594202898551,0.5797101449275363,0.6014492753623188,0.7246376811594203,0.5869565217391305,0.5217391304347826,0.8768115942028986,0.6884057971014492,0.7536231884057971,0.6739130434782609,0.782608695652174
POD,2022-01-01 to 2023-01-01,0.6676096181046676,0.6181046676096181,0.5855728429985856,0.5869872701555869,0.5827439886845828,0.5813295615275813,0.5770862800565771,0.637906647807638,0.6478076379066479,0.6082036775106082,0.6647807637906648,0.7185289957567186,0.5983026874115983,0.6251768033946252,0.5035360678925035,0.6548797736916548,0.5785007072135785,0.6138613861386139,0.5841584158415841,0.6067892503536068,0.6775106082036775,0.5983026874115983,0.6831683168316832,0.6294200848656294,0.5983026874115983,0.685997171145686,0.6534653465346535,0.6704384724186704,0.7086280056577087,0.620933521923621
