Metric,Period,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24,Sample_25,Sample_26,Sample_27,Sample_28,Sample_29,Sample_30
TSS,2020-01-01 to 2022-01-01,0.3621161447248404,0.37211098080663296,0.3617252312904487,0.33870477348738215,0.3609820131559262,0.3498530455052194,0.3405628188236884,0.3658129310303223,0.3672993672993673,0.3761986805465066,0.3550555724468768,0.37805672588281286,0.34727108640152116,0.34875752267056614,0.36767097636662854,0.36397419006114656,0.39176765263721786,0.3798954668519886,0.3761793761793762,0.3646981038285386,0.396598570511614,0.3913960435699566,0.35840005405222797,0.36100131752305664,0.3602387950214037,0.37655098524663744,0.3661652357304531,0.3491098273706969,0.3513394817742644,0.3298247646073733
TSS,2022-01-01 to 2023-01-01,0.4264372309290758,0.40468781343387217,0.4137738595507641,0.4199679558067884,0.42753280286391765,0.42395033407228716,0.4157052551448161,0.43427211332225757,0.42106352774163014,0.41033669548758095,0.4297290902638116,0.4262919262006285,0.43139045052181113,0.4414267638450974,0.40964617655681806,0.43400207798620505,0.4088257834882393,0.39203987264619194,0.40179072004279415,0.4169358447476841,0.41143226742242267,0.3929952833827969,0.42162931606478793,0.4289138407254435,0.4143190737530797,0.40605856423497705,0.41817672141097323,0.42079863593578815,0.42959407259578536,0.42587658613612867
TSS,2023-01-01 to 2025-01-01,0.27059913396890745,0.2682839786160911,0.27358863427451485,0.2810084374423101,0.26393029281875235,0.2718255809170901,0.28471838685209083,0.27498371528677834,0.27354262577489885,0.2735423388195998,0.2728220810189591,0.2800121286439736,0.2782337710039323,0.2849483336984042,0.2713349830074637,0.2868034997068273,0.27559693876086966,0.26475806320477424,0.26052681166836766,0.27340460027605107,0.26537128667886545,0.25838067298669765,0.274585134376384,0.27345051312390056,0.26713414873275754,0.26797731905316236,0.26845289963547114,0.28261816101827053,0.2783563009166309,0.2680082145736945
TSS,2020-01-01 to 2025-01-01,0.36928237907430067,0.36323809092066944,0.3624753097213318,0.3673411565088432,0.36571337905487233,0.36510505376274455,0.36853222634536387,0.36954153255662847,0.36591964407141886,0.36827868551654763,0.36794386914745947,0.3688873346156088,0.3714326729830606,0.3798916973743575,0.3631309108257293,0.3763601510235537,0.3613486774645485,0.35675601579314353,0.356352228547251,0.36505637478709696,0.3631379266426186,0.3524799293669143,0.36772778198726797,0.37248331854615,0.3663402692778458,0.36255518209822574,0.36102508640248343,0.3704892075149113,0.37084992843866776,0.36625025095037334
HSS,2020-01-01 to 2022-01-01,0.06609806224051404,0.06457664707971243,0.06332887212556272,0.05764350095850739,0.06305947814357375,0.06152211476116601,0.058272494328987276,0.06483207160018441,0.06538789670521707,0.06608173005599284,0.06342186705287023,0.06677805435264432,0.0630977591294321,0.0636596759800454,0.06552763404161621,0.06682189746615845,0.06660267060488585,0.06486255321989096,0.06354373273268132,0.06441845398438299,0.06837716356834637,0.0664682181927857,0.06467510910109062,0.06566774763892132,0.06279126891460374,0.06367434876281255,0.06245102493694975,0.06125552746074677,0.062058853616121665,0.0591817330024195
HSS,2022-01-01 to 2023-01-01,0.1744890697695832,0.15780355834699272,0.164790351697031,0.16948335441070622,0.1738377078322702,0.17010000784213372,0.16734546824885757,0.1776949374597984,0.16887191379075162,0.16322047262016712,0.17392897375451913,0.17232216510787646,0.17786597623042275,0.18262487042745573,0.16214811694930137,0.1789427725942336,0.16288658050841923,0.15238171399439715,0.15425613450555548,0.16618607616735825,0.16265602902137255,0.15123843126678635,0.17332580595540345,0.1761710901865674,0.16386406858971964,0.15745218077218792,0.16764483457750107,0.1713868379182086,0.17452955616515073,0.1713689194171178
HSS,2023-01-01 to 2025-01-01,0.1708628015738084,0.16628319981208947,0.17399848233423176,0.17862681081522802,0.1644787004046095,0.17198347924940263,0.18149090485832514,0.1752633705486182,0.17377099873316487,0.17065958751108293,0.17302849103316204,0.1797468321009432,0.17796777409260875,0.1815682852161492,0.17132743435521844,0.18526774390972933,0.1758328878650535,0.16438209158880215,0.16056297294346597,0.17309164770833496,0.16492608445510418,0.16010554909176689,0.17505380190416803,0.17227302184988433,0.16489837529124102,0.16552066440501004,0.1694223393438488,0.1802666382924748,0.1767841771867573,0.16797968931578777
HSS,2020-01-01 to 2025-01-01,0.19380010943782267,0.18519755598864476,0.18942405032500154,0.19200292054916457,0.18909233859244645,0.19045856430614017,0.1930060797110129,0.19481779978609265,0.19163782959183864,0.1897313699482596,0.19291576556527387,0.19491598502020302,0.19708411618313915,0.2012272323084805,0.18877414508701043,0.20134936470236606,0.18881756203615402,0.1817428312209606,0.1798743852669856,0.19030832111306079,0.1859983537972582,0.17881164209713515,0.19439555986757387,0.1952590479236141,0.18688191649025213,0.18373857132694577,0.1874518350067332,0.1950587554306018,0.1946227623873759,0.19016485058267069
POD,2020-01-01 to 2022-01-01,0.6363636363636364,0.6623376623376623,0.6493506493506493,0.6363636363636364,0.6493506493506493,0.6363636363636364,0.6363636363636364,0.6493506493506493,0.6493506493506493,0.6623376623376623,0.6363636363636364,0.6623376623376623,0.6233766233766234,0.6233766233766234,0.6493506493506493,0.6363636363636364,0.6883116883116883,0.6753246753246753,0.6753246753246753,0.6493506493506493,0.6883116883116883,0.6883116883116883,0.6363636363636364,0.6363636363636364,0.6493506493506493,0.6753246753246753,0.6623376623376623,0.6363636363636364,0.6363636363636364,0.6103896103896104
POD,2022-01-01 to 2023-01-01,0.8317757009345794,0.8411214953271028,0.8364485981308412,0.8341121495327103,0.8364485981308412,0.8411214953271028,0.8317757009345794,0.8387850467289719,0.8387850467289719,0.8341121495327103,0.8411214953271028,0.8387850467289719,0.8317757009345794,0.8387850467289719,0.8364485981308412,0.8341121495327103,0.8317757009345794,0.8317757009345794,0.8481308411214953,0.8387850467289719,0.8387850467289719,0.8387850467289719,0.8247663551401869,0.8317757009345794,0.8411214953271028,0.8457943925233645,0.8364485981308412,0.8294392523364486,0.8387850467289719,0.8411214953271028
