Metric,Period,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24,Sample_25,Sample_26,Sample_27,Sample_28,Sample_29,Sample_30
TSS,2020-01-01 to 2022-01-01,0.08742138364779872,-0.08838574423480083,0.12238993710691826,-0.08503144654088052,-0.09664570230607966,-0.06964360587002094,0.10532494758909855,0.05454926624737946,-0.014255765199161413,-0.10838574423480082,-0.09425576519916143,0.027840670859538785,0.13287211740041932,0.09999999999999998,-0.08167714884696017,0.02909853249475891,0.009937106918238986,-0.046289308176100635,-0.045870020964360575,0.005744234800838577,-0.021257861635220143,0.0311949685534591,0.10490566037735849,0.05610062893081763,-0.05383647798742139,0.0478406708595388,0.1966457023060797,-0.02461215932914046,-0.07132075471698113,0.18616352201257863
TSS,2022-01-01 to 2023-01-01,0.35835834736023275,0.3904297724785641,0.3701530287115615,0.384397839491252,0.3882213598547941,0.3818290490860907,0.3835628178026624,0.37167694329323764,0.36155230531908816,0.3796481042810243,0.3738853559170076,0.3731096647168178,0.3723339735166279,0.3863689301614229,0.37908226721573,0.3755279314754833,0.37809672188064464,0.3860997455381275,0.37409521005190316,0.3809028342394051,0.3847263546029472,0.36893016142287693,0.37531807734058775,0.3724801023121311,0.37092871991175136,0.3915339787904491,0.38087536642070147,0.4024343079647884,0.3788130825924347,0.3936830609258193
TSS,2023-01-01 to 2025-01-01,0.3321087467949889,0.33418456741355523,0.3289688920799821,0.3359483312308446,0.3393122790575599,0.33012640035234453,0.32225477264243535,0.3242604876290602,0.3327094918535623,0.33271500233991574,0.3297882197639103,0.3319396565007718,0.3388751138068501,0.33435641295094914,0.34037631315400035,0.3331933941922331,0.3322283447580682,0.334499379458009,0.33570913530468605,0.33099522036741064,0.3359538417171982,0.33327176555370486,0.33244692738342313,0.3227537777955564,0.3308728671611546,0.3317210738754168,0.33385465255465124,0.32792822652752207,0.3316014759123376,0.33019926122746285
TSS,2020-01-01 to 2025-01-01,0.39173416891176066,0.3949624282402725,0.391022471683952,0.3955827571503949,0.3974838246434988,0.3911715439944822,0.39108659211469005,0.3894179666765375,0.3899340943931847,0.3885668217950398,0.38779421235544004,0.39220221729240556,0.39867156882521787,0.3997230735721953,0.39407603689856113,0.39407441081498523,0.39378589085076604,0.39543368483986463,0.3932088509223278,0.39236891283304276,0.3953888137228094,0.39242182647156826,0.39284016943263483,0.3865038491156171,0.389754565976759,0.3956885404792411,0.3987966014677469,0.39601393298725,0.39044222353656655,0.3974116616912904
HSS,2020-01-01 to 2022-01-01,0.015552505557130282,-0.016262232353973564,0.021255215501234246,-0.015873823454591707,-0.01876210786787569,-0.012722168819580345,0.018543809010578536,0.010036605451859394,-0.0025405649768173444,-0.019978051193273155,-0.016915673711101663,0.004987681028784328,0.024100050572842004,0.018771102733418858,-0.015473887814313346,0.0052406033490022845,0.0017991755676512787,-0.008563118091913903,-0.008500949946189142,0.0010219152332502871,-0.004012456818604504,0.005668139570318452,0.018438205849082328,0.009548072188563721,-0.009644853073733549,0.00855569260993615,0.036051271210869186,-0.004577908278059185,-0.012936000638814846,0.032663871110130215
HSS,2022-01-01 to 2023-01-01,0.15290849479396557,0.16627214200454712,0.15593448471617843,0.16412493238903944,0.16946728466352295,0.16105787556855877,0.16710372984780533,0.15930897230256857,0.15087357657245845,0.15723750102955047,0.1564137909478806,0.15808385909556638,0.15979716141030725,0.1656062833714632,0.16133597469492672,0.15759806910791688,0.16060730092161102,0.16421719357208414,0.15880582089785444,0.15924906757018403,0.16437102889088598,0.1595756359449129,0.15525022428698554,0.1511534302173548,0.15430081123753317,0.16473234582157342,0.1662605946429188,0.17171533672268416,0.1599892529675568,0.16284689493188675
HSS,2023-01-01 to 2025-01-01,0.2192775736580345,0.22045845400092787,0.2167692377882347,0.22209935559900526,0.22735957379268068,0.21703495414980084,0.21155781269506319,0.21351390868488834,0.2186394924140743,0.2206588539158717,0.21675072140213836,0.21913450398924336,0.22607953583248305,0.22161974967609538,0.22873835376772597,0.2193331686663716,0.21894834321199952,0.22101448884492172,0.22277294668390552,0.21748191926216234,0.22416310070163595,0.22157070340388826,0.21956383613788094,0.2091123275661727,0.21681361576357974,0.21852019671590503,0.22324775489536344,0.21519033792615766,0.21884848770566329,0.21723795977033294
HSS,2020-01-01 to 2025-01-01,0.22185738571169006,0.22394592204402594,0.22022600041365326,0.22500439360496097,0.23005920844326505,0.2206924875989502,0.22113090122500328,0.2207251477208282,0.2191319101125732,0.22016590075467976,0.21815573914474634,0.22191617259633947,0.22822615960924034,0.22807802655471487,0.2272233600711681,0.22215023223871783,0.22276052718821557,0.22452656750941935,0.22399395645972214,0.22052563588888838,0.2267730592184016,0.22435852039227913,0.2210964461425325,0.2129804316487491,0.21847682730434503,0.22318923156181483,0.22959213183308785,0.22381309444567515,0.2209203315203109,0.22294849838326042
POD,2020-01-01 to 2022-01-01,0.3,0.12,0.34,0.12,0.1,0.14,0.32,0.26,0.2,0.1,0.12,0.24,0.34,0.3,0.12,0.24,0.22,0.16,0.16,0.22,0.18,0.24,0.32,0.28,0.16,0.26,0.4,0.18,0.14,0.4
POD,2022-01-01 to 2023-01-01,0.6822742474916388,0.7123745819397993,0.6989966555183946,0.705685618729097,0.6989966555183946,0.7090301003344481,0.6956521739130435,0.6923076923076923,0.6956521739130435,0.7157190635451505,0.705685618729097,0.6989966555183946,0.6923076923076923,0.705685618729097,0.7023411371237458,0.705685618729097,0.7023411371237458,0.7090301003344481,0.6989966555183946,0.7123745819397993,0.705685618729097,0.68561872909699,0.7123745819397993,0.7190635451505016,0.705685618729097,0.7190635451505016,0.6923076923076923,0.7224080267558528,0.705685618729097,0.7290969899665551
POD,2023-01-01 to 2025-01-01,0.7911888955944478,0.7936028968014484,0.7905853952926977,0.7929993964996982,0.7833433916716959,0.7936028968014484,0.7887748943874472,0.7875678937839469,0.796016898008449,0.7875678937839469,0.7936028968014484,0.7911888955944478,0.7869643934821967,0.7893783946891973,0.7815328907664454,0.7948098974049487,0.7929993964996982,0.7923958961979481,0.7893783946891973,0.7948098974049487,0.7845503922751962,0.7857573928786964,0.7911888955944478,0.8014484007242003,0.7972238986119493,0.7929993964996982,0.7809293904646952,0.7936028968014484,0.7911888955944478,0.7929993964996982
