Metric,Period,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24,Sample_25,Sample_26,Sample_27,Sample_28,Sample_29,Sample_30
TSS,2020-01-01 to 2022-01-01,0.4119984493118822,0.588340763713898,0.545260709439814,0.3517154487303741,0.5602345415778252,0.41127156425663886,0.5551948051948052,0.3894165535956581,0.34139368094591976,0.46825935258771084,0.40308199263423145,0.644892421011824,0.47465594107385156,0.49631711572010084,0.5840279123861213,0.3517154487303741,0.5365865477805776,0.6197906571040899,0.42038185694902114,0.6169315758867997,0.36751308393099436,0.44616204690831557,0.5206919945725916,0.5119693739096725,0.5913452219422368,0.5911998449311882,0.5913452219422368,0.3827776700911029,0.6295309168443497,0.5463268075208374
TSS,2022-01-01 to 2023-01-01,0.5233644859813085,0.5257009345794392,0.610981308411215,0.5876168224299065,0.6051401869158878,0.5794392523364486,0.5981308411214954,0.5981308411214953,0.6039719626168224,0.5642523364485981,0.6004672897196262,0.5595794392523364,0.586448598130841,0.5911214953271028,0.6051401869158878,0.5537383177570093,0.5630841121495328,0.608644859813084,0.6296728971962617,0.5759345794392523,0.5864485981308412,0.59696261682243,0.6343457943925234,0.6226635514018692,0.5782710280373832,0.602803738317757,0.6004672897196262,0.633177570093458,0.6156542056074766,0.586448598130841
TSS,2023-01-01 to 2025-01-01,0.41917186613726604,0.3362590710539088,0.44526375496313103,0.3828701077708451,0.396483267158253,0.3210436755530346,0.3301191151446398,0.3976176971072036,0.368689733408962,0.3760635280771412,0.3817356778218945,0.3515738753647426,0.38003403289846854,0.3272830402722632,0.4100964265456608,0.3369256948383437,0.3879750425411231,0.33352240499149177,0.4095292115711855,0.36131593874078277,0.3363584798638684,0.4054592979398986,0.3448667044809983,0.3369256948383437,0.40612592172433354,0.4280484881089521,0.39194554736245035,0.2976884527895866,0.3488372093023256,0.3942144072603517
TSS,2020-01-01 to 2025-01-01,0.5768808878564976,0.5134351136472027,0.5480964350706309,0.5284599602379737,0.5728326796725524,0.467836897140538,0.5299449578346715,0.5205809632285419,0.5448187797958035,0.5213940648723258,0.48978783611162546,0.5576628868428091,0.5601372594126217,0.49383604429557065,0.5394141553561844,0.4737937199937907,0.5724104653054812,0.5120085621146067,0.5678914156291321,0.5067138162754988,0.4746143027337796,0.569210426403781,0.5199787349840372,0.5654544485403445,0.5406382497227319,0.5564813412109276,0.5389507949599854,0.5058394631565364,0.4966638986610708,0.5282200975909
HSS,2020-01-01 to 2022-01-01,0.10508945953462501,0.1340954274353877,0.1329567878623167,0.08473329675333015,0.12732799541835083,0.10906146995894292,0.14507122507122508,0.09671789810680372,0.08299366208797682,0.10718266975026206,0.10868443230742093,0.15352137047932168,0.11053745239102836,0.1278149042511372,0.14733136109141587,0.08473329675333015,0.11875995431071928,0.15417347227830783,0.1015807962529274,0.15836842334413503,0.09650144103219896,0.1116751269035533,0.1330254784955555,0.13269695732722078,0.1409830573093875,0.1310278165610568,0.1409830573093875,0.11024347352774928,0.17533606867138152,0.13362252880102404
HSS,2022-01-01 to 2023-01-01,0.5483476132190942,0.5444646098003629,0.6378048780487805,0.6229102167182663,0.626360338573156,0.6314449395289624,0.6472819216182049,0.629379225568531,0.6422360248447205,0.5974025974025974,0.6385093167701863,0.5760673481659652,0.6236024844720497,0.6277915632754343,0.6450809464508095,0.5962264150943396,0.6013724266999376,0.654934003771213,0.6529376135675349,0.6205160478288232,0.6366518706404566,0.6254589963280294,0.6817325800376648,0.6564039408866995,0.6122448979591837,0.6220614828209765,0.6314496314496314,0.6762320648783531,0.6575171553337492,0.6144430844553244
HSS,2023-01-01 to 2025-01-01,0.07000272460139277,0.050897774284515584,0.07725084585846391,0.060776096127873463,0.06412704537780792,0.047000630076568004,0.04888706459389808,0.06441202019216469,0.057415265813102155,0.05914683103546271,0.06050245555760481,0.05429679139314172,0.06009357547065133,0.04829289295732599,0.06760715721404258,0.050330716254887366,0.06201802549592547,0.04960575272268057,0.06745947653742569,0.05571751780257158,0.05020944972202849,0.06743839528170494,0.0520471686290845,0.050330716254887366,0.06657834545353454,0.07476959125493733,0.06299607044071028,0.04290826827866269,0.05291871249318058,0.06355978145579853
HSS,2020-01-01 to 2025-01-01,0.5953874673633023,0.5309364309975946,0.5650931644681151,0.5476370273624699,0.591983992531652,0.4903904307176864,0.5535646955166088,0.5381069192314505,0.5664113996165647,0.5400455914907507,0.5118515069143766,0.5770631004839555,0.579807159921168,0.5153992117582846,0.5595464293240746,0.49416608735153705,0.5927796040446768,0.5337563889720226,0.5869836068742872,0.5283089784704978,0.49644806992643775,0.5880281043838472,0.5436259572863259,0.5866650302379525,0.5601049994635223,0.5737122313706577,0.5577252750602523,0.5278785848660958,0.5185398168852131,0.5488804527989105
POD,2020-01-01 to 2022-01-01,0.6753246753246753,0.8831168831168831,0.8181818181818182,0.6363636363636364,0.8571428571428571,0.6623376623376623,0.8051948051948052,0.6623376623376623,0.6233766233766234,0.7662337662337663,0.6493506493506493,0.922077922077922,0.7662337662337663,0.7532467532467533,0.8441558441558441,0.6363636363636364,0.8441558441558441,0.8831168831168831,0.7012987012987013,0.8701298701298701,0.6233766233766234,0.7142857142857143,0.7792207792207793,0.7662337662337663,0.8701298701298701,0.8961038961038961,0.8701298701298701,0.6103896103896104,0.8571428571428571,0.8181818181818182
POD,2022-01-01 to 2023-01-01,0.6214953271028038,0.6378504672897196,0.6845794392523364,0.6495327102803738,0.6915887850467289,0.6098130841121495,0.6308411214953271,0.6658878504672897,0.6565420560747663,0.6355140186915887,0.6542056074766355,0.6682242990654206,0.6448598130841121,0.6495327102803738,0.6542056074766355,0.6074766355140186,0.6238317757009346,0.6448598130841121,0.705607476635514,0.6214953271028038,0.6191588785046729,0.6705607476635514,0.6635514018691588,0.6799065420560748,0.6448598130841121,0.6939252336448598,0.6682242990654206,0.6705607476635514,0.6588785046728972,0.6635514018691588
POD,2023-01-01 to 2025-01-01,0.41917186613726604,0.34656834940442427,0.44526375496313103,0.3828701077708451,0.396483267158253,0.3210436755530346,0.3301191151446398,0.3976176971072036,0.368689733408962,0.3760635280771412,0.3817356778218945,0.3618831537152581,0.38003403289846854,0.3272830402722632,0.4100964265456608,0.3369256948383437,0.3879750425411231,0.33352240499149177,0.4095292115711855,0.36131593874078277,0.3363584798638684,0.4157685762904141,0.3448667044809983,0.3369256948383437,0.40612592172433354,0.448667044809983,0.39194554736245035,0.3079977311401021,0.3488372093023256,0.3942144072603517
POD,2020-01-01 to 2025-01-01,0.6256613756613757,0.582010582010582,0.6141975308641975,0.5811287477954145,0.6177248677248677,0.4982363315696649,0.5476190476190477,0.5877425044091711,0.576278659611993,0.5793650793650794,0.5233686067019401,0.6036155202821869,0.6036155202821869,0.531305114638448,0.5828924162257496,0.5229276895943563,0.6084656084656085,0.5462962962962963,0.6141975308641975,0.5427689594356261,0.5110229276895943,0.6172839506172839,0.5383597883597884,0.5965608465608465,0.5890652557319224,0.6190476190476191,0.5930335097001763,0.5383597883597884,0.531305114638448,0.5692239858906526
F1,2020-01-01 to 2022-01-01,0.16693418940609953,0.19484240687679083,0.19325153374233128,0.1484848484848485,0.18857142857142858,0.17028380634390652,0.20394736842105263,0.159375,0.14678899082568808,0.1697841726618705,0.1697792869269949,0.2125748502994012,0.17276720351390923,0.1880064829821718,0.20634920634920634,0.1484848484848485,0.1808066759388039,0.21283255086071987,0.1641337386018237,0.21647819063004847,0.15867768595041323,0.1732283464566929,0.19292604501607716,0.19249592169657423,0.20089955022488756,0.19220055710306408,0.20089955022488756,0.1705989110707804,0.23157894736842105,0.19384615384615383
F1,2022-01-01 to 2023-01-01,0.6838046272493573,0.685069008782936,0.7474489795918368,0.7325428194993412,0.7418546365914787,0.73006993006993,0.743801652892562,0.7392996108949417,0.7453580901856764,0.7148488830486203,0.7427055702917772,0.7087980173482032,0.7320954907161804,0.7354497354497355,0.7466666666666667,0.7084468664850136,0.714859437751004,0.7510204081632653,0.759748427672956,0.7257844474761255,0.7350901525658807,0.7377892030848329,0.7706919945725916,0.7578125,0.7253613666228647,0.7397260273972602,0.7409326424870466,0.7684069611780455,0.7550200803212851,0.7300771208226221
F1,2023-01-01 to 2025-01-01,0.5907274180655475,0.5145263157894737,0.6161695447409733,0.5537325676784249,0.5678310316815597,0.4860455130957492,0.49637526652452024,0.5689935064935064,0.5387484459179445,0.5465787304204451,0.5525451559934319,0.5312239800166528,0.5507603781339909,0.4931623931623932,0.581657280772325,0.5040305473058974,0.5590519002860646,0.5002126754572522,0.5810865191146881,0.5308333333333334,0.5033955857385399,0.5871045254305166,0.5128637705609448,0.5040305473058974,0.5776522791448164,0.6189358372456965,0.563162184189079,0.47074122236671,0.5172413793103449,0.565500406834825
F1,2020-01-01 to 2025-01-01,0.7419607843137255,0.6980433632998414,0.724012474012474,0.7057563587684069,0.738145416227608,0.6486796785304249,0.697752808988764,0.7032445265101557,0.7134279475982532,0.7015483182060865,0.6687323943661971,0.7268383328908946,0.7281914893617021,0.6733724504051412,0.7120926474548882,0.6601725577511829,0.736,0.6875693673695893,0.734704641350211,0.6836989725076368,0.656657223796034,0.7360672975814931,0.6896356961310365,0.7295767053114047,0.7142475273990911,0.7295401402961809,0.7142857142857143,0.6819324211114214,0.6748809857182861,0.7025850340136054
FAR,2020-01-01 to 2022-01-01,0.26332622601279315,0.2947761194029851,0.27292110874200426,0.2846481876332623,0.296908315565032,0.2510660980810235,0.25,0.27292110874200426,0.2819829424307036,0.2979744136460554,0.2462686567164179,0.2771855010660981,0.2915778251599147,0.25692963752665243,0.2601279317697228,0.2846481876332623,0.30756929637526653,0.26332622601279315,0.2809168443496802,0.2531982942430704,0.255863539445629,0.26812366737739873,0.2585287846481876,0.2542643923240938,0.27878464818763327,0.3049040511727079,0.27878464818763327,0.22761194029850745,0.22761194029850745,0.27185501066098083
FAR,2022-01-01 to 2023-01-01,0.09813084112149532,0.11214953271028037,0.07359813084112149,0.06191588785046729,0.08644859813084112,0.030373831775700934,0.03271028037383177,0.06775700934579439,0.052570093457943924,0.07126168224299065,0.053738317757009345,0.10864485981308411,0.05841121495327103,0.05841121495327103,0.04906542056074766,0.053738317757009345,0.06074766355140187,0.036214953271028034,0.07593457943925233,0.0455607476635514,0.03271028037383177,0.07359813084112149,0.029205607476635514,0.05724299065420561,0.06658878504672897,0.0911214953271028,0.06775700934579439,0.037383177570093455,0.04322429906542056,0.07710280373831775
FAR,2023-01-01 to 2025-01-01,0.0,0.010309278350515464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010309278350515464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010309278350515464,0.0,0.0,0.0,0.020618556701030927,0.0,0.010309278350515464,0.0,0.0
FAR,2020-01-01 to 2025-01-01,0.04878048780487805,0.06857546836337929,0.06610109579356663,0.05266878755744079,0.044892188052315304,0.0303994344291269,0.017674089784376106,0.0671615411806292,0.031459879816189466,0.057971014492753624,0.0335807705903146,0.045952633439377874,0.043478260869565216,0.037469070342877345,0.043478260869565216,0.04913396960056557,0.036055143160127257,0.03428773418168964,0.04630611523506539,0.036055143160127257,0.036408624955814775,0.048073524213503006,0.01838105337575115,0.031106398020501944,0.048427006009190525,0.06256627783669141,0.05408271474019088,0.032520325203252036,0.03464121597737717,0.041003888299752565
ACC,2020-01-01 to 2022-01-01,0.7342549923195084,0.7122375832053252,0.7306707629288275,0.7122375832053252,0.7091653865847414,0.7455197132616488,0.7521761392729135,0.72452636968766,0.7142857142857143,0.7045570916538658,0.7496159754224271,0.7306707629288275,0.7107014848950333,0.7434715821812596,0.7439836149513569,0.7122375832053252,0.6984126984126984,0.742447516641065,0.7183819764464926,0.7516641065028162,0.7393753200204813,0.7311827956989247,0.7429595494111623,0.7465437788018433,0.7270865335381465,0.703020993343574,0.7270865335381465,0.7660010240655402,0.7757296466973886,0.731694828469022
ACC,2022-01-01 to 2023-01-01,0.8084112149532711,0.8045171339563862,0.8457943925233645,0.8419003115264797,0.839563862928349,0.8496884735202492,0.8551401869158879,0.8434579439252337,0.8504672897196262,0.8309968847352025,0.8489096573208723,0.8169781931464174,0.8426791277258567,0.8442367601246106,0.8520249221183801,0.8333333333333334,0.8341121495327103,0.8574766355140186,0.8512461059190031,0.8434579439252337,0.8512461059190031,0.8411214953271028,0.868380062305296,0.8551401869158879,0.8372274143302181,0.8372274143302181,0.8442367601246106,0.8652647975077882,0.8574766355140186,0.8364485981308412
ACC,2023-01-01 to 2025-01-01,0.44946236559139785,0.38010752688172045,0.47419354838709676,0.4150537634408602,0.42795698924731185,0.3564516129032258,0.3650537634408602,0.4290322580645161,0.40161290322580645,0.40860215053763443,0.41397849462365593,0.3946236559139785,0.41236559139784945,0.36236559139784946,0.44086021505376344,0.37150537634408604,0.4198924731182796,0.3682795698924731,0.4403225806451613,0.3946236559139785,0.3709677419354839,0.4456989247311828,0.3790322580645161,0.37150537634408604,0.43709677419354837,0.47634408602150535,0.4236559139784946,0.3435483870967742,0.3827956989247312,0.4258064516129032
ACC,2020-01-01 to 2025-01-01,0.8063566804002354,0.7759466352756523,0.7916421424367275,0.7843829703747303,0.8049833235236413,0.7598587404355504,0.7888954286835393,0.7792819305473808,0.7939964685108888,0.7806552874239749,0.7692760447321955,0.7981165391406709,0.7994898960172651,0.7706494016087895,0.7902687855601334,0.7604473219540906,0.8057680988816951,0.7790857367078674,0.8026289974494801,0.7765352167941927,0.7622130665097115,0.803021385128507,0.7843829703747303,0.8032175789680204,0.7902687855601334,0.7957622130665097,0.7888954286835393,0.7765352167941927,0.772218952324897,0.7855601334118109
