Metric,Period,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24,Sample_25,Sample_26,Sample_27,Sample_28,Sample_29,Sample_30
TSS,2020-01-01 to 2022-01-01,0.4895276614184602,0.5597765901102605,0.6064326640666378,0.7370600414078675,0.6461071789686552,0.8405797101449275,0.5757138042274543,0.38249313881265345,0.7319562809957147,0.574750830564784,0.6142327507342674,0.6605999325918436,0.6832298136645962,0.7211228272906736,0.7454860609562328,0.4920795416245366,0.7018633540372671,0.5881361644759016,0.5675766767778901,0.5795175501950021,0.5739323029515142,0.5788916173142664,0.016129808849727978,0.5866917039818962,0.7619047619047619,0.32514805720063555,0.4967018152053541,0.7246376811594203,0.5919399104434493,0.6016659444364196
TSS,2022-01-01 to 2025-01-01,0.3190145466477086,0.4009077983156513,0.34942032155747565,0.3721973094170404,0.44162200590615774,0.3609865470852018,0.4457508476430056,0.381439352510117,0.31614349775784756,0.2550858580334682,0.01725363666192717,0.3155419446571147,0.5143552444493055,0.3654708520179372,0.23542600896860988,0.333834627583944,0.5018866892704801,0.3419829377665974,0.2987531444821175,0.3071748878923767,0.3609865470852018,0.2714098217215356,0.19266105217105983,0.3047686754894455,0.44260636552553867,0.3047686754894455,0.257847533632287,0.392294651646068,0.42376681614349776,0.32062780269058294
TSS,2020-01-01 to 2025-01-01,0.3614890812717497,0.5242095814250449,0.40179466026935706,0.5735011046737657,0.5624701706476012,0.44607011122595086,0.48992202488755715,0.5411637161288692,0.4442147650158194,0.3004522999023336,0.24200099246798973,0.3738570024305984,0.6014672090472624,0.519190348406836,0.39608638896527315,0.34969957298590626,0.5681531561430291,0.501404942743447,0.44664220264679205,0.44048194751298264,0.44785276073619634,0.3894077747540165,0.1467461905348897,0.3860542443810192,0.5543597475212005,0.4173707184014312,0.4756766324360032,0.5331734005935844,0.5973045327972741,0.3935420044692667
HSS,2020-01-01 to 2022-01-01,0.22389834614283513,0.23868278962820014,0.32825979306210745,0.3142745693814285,0.28185847213762105,0.46296640059402266,0.2170487756176369,0.16309100987497177,0.34653171943741595,0.23965548394868397,0.3660650233866108,0.2978141483427033,0.26070660860938105,0.3538236197406034,0.41790601635671676,0.21367789416462815,0.27792712921123375,0.2271755100522606,0.2608599437916307,0.29193043731354146,0.35319565024148863,0.2435333913994612,0.007997326267039079,0.2657637025889332,0.3434847728407389,0.14451411329153202,0.20620040376581583,0.30082552119770534,0.3080508156055025,0.2661611535921958
HSS,2022-01-01 to 2025-01-01,0.20212397352829078,0.2777577812719041,0.2272165571686388,0.2417246768006819,0.3088529167104898,0.23298537885272083,0.31730151624267666,0.25376324525899313,0.19908910106845518,0.16797961700863395,0.010633009512415007,0.22277992277992278,0.37226652945716493,0.23646801772714005,0.14204990719736027,0.23473654864789517,0.35677146605763155,0.2278059087100652,0.19330013180358613,0.19250640459931628,0.23298537885272083,0.18126038604116068,0.12088666232028275,0.2035390149924216,0.3066474700210279,0.2035390149924216,0.15740933939823895,0.26645246961156666,0.2833764547773379,0.20240448099976696
HSS,2020-01-01 to 2025-01-01,0.3847375237582628,0.538737895930174,0.4240292468469911,0.6022224139876665,0.5734966161778924,0.4737509944712434,0.49536443735678654,0.5567333799404945,0.47543689911571485,0.3074380486037892,0.2578388881592462,0.3833330092493567,0.6135705580024634,0.546481337933283,0.42540371173776814,0.35110228199505583,0.5801772607850858,0.5207805339251245,0.4660773772222039,0.4688106571577549,0.48022897581112545,0.4017465255359251,0.15116233639382692,0.40191049058739525,0.5784821399122663,0.434965495660194,0.49252519963345986,0.5530594379801119,0.6199036244173345,0.42301132695979504
POD,2020-01-01 to 2022-01-01,0.7441860465116279,0.8372093023255814,0.7906976744186046,1.0,0.9069767441860465,1.0,0.9069767441860465,0.6744186046511628,0.9534883720930233,0.8604651162790697,0.7674418604651163,0.9069767441860465,1.0,0.9302325581395349,0.9069767441860465,0.7674418604651163,1.0,0.9069767441860465,0.813953488372093,0.7906976744186046,0.7209302325581395,0.8604651162790697,0.27906976744186046,0.8372093023255814,1.0,0.6046511627906976,0.7906976744186046,1.0,0.7906976744186046,0.8604651162790697
POD,2022-01-01 to 2025-01-01,0.3251121076233184,0.4618834080717489,0.36771300448430494,0.3721973094170404,0.484304932735426,0.3609865470852018,0.5067264573991032,0.40582959641255606,0.31614349775784756,0.35874439461883406,0.2062780269058296,0.4618834080717489,0.5448430493273543,0.3654708520179372,0.23542600896860988,0.4618834080717489,0.5201793721973094,0.3968609865470852,0.3475336322869955,0.3071748878923767,0.3609865470852018,0.3811659192825112,0.27802690582959644,0.3901345291479821,0.4730941704035874,0.3901345291479821,0.257847533632287,0.4349775784753363,0.42376681614349776,0.32062780269058294
POD,2020-01-01 to 2025-01-01,0.4233128834355828,0.6339468302658486,0.47443762781186094,0.588957055214724,0.6830265848670757,0.4785276073619632,0.6707566462167689,0.6400817995910021,0.45194274028629855,0.5214723926380368,0.35173824130879344,0.556237218813906,0.7034764826175869,0.5501022494887525,0.4130879345603272,0.6155419222903885,0.6809815950920245,0.5848670756646217,0.5378323108384458,0.46830265848670755,0.44785276073619634,0.5439672801635992,0.4110429447852761,0.5112474437627812,0.5991820040899796,0.5255623721881391,0.5807770961145194,0.6073619631901841,0.6421267893660532,0.40899795501022496
F1,2020-01-01 to 2022-01-01,0.32323232323232326,0.3380281690140845,0.40963855421686746,0.40375586854460094,0.375,0.5276073619631901,0.32231404958677684,0.27230046948356806,0.4293193717277487,0.3394495412844037,0.44,0.3880597014925373,0.3598326359832636,0.43478260869565216,0.4875,0.3157894736842105,0.3739130434782609,0.3305084745762712,0.3553299492385787,0.37988826815642457,0.42758620689655175,0.3425925925925926,0.13186813186813187,0.36,0.42786069651741293,0.2549019607843137,0.3105022831050228,0.3926940639269406,0.3930635838150289,0.36097560975609755
