Metric,Period,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24,Sample_25,Sample_26,Sample_27,Sample_28,Sample_29,Sample_30
TSS,2020-01-01 to 2022-01-01,0.2733518678298661,0.25868405074617323,0.4421436103921005,0.26990061675135013,0.31987984533282204,0.4120090755120953,0.3783593774965647,0.32671843543284435,0.48084236091138594,0.2974467133224683,0.4050426612980539,0.3172914070239351,0.4404179848528425,0.44386923593135846,0.1398076247084012,0.3190170325631931,0.45249736362764836,0.13648419774390436,0.44300642316172945,0.16045121912248744,0.030422139136548065,0.21215607324321734,0.3809478158054517,0.27680311890838205,0.406896110951331,0.3336209375898763,0.32499280989358637,0.4145336017639728,0.23027514140542615,0.4378295465439555
TSS,2022-01-01 to 2023-01-01,0.6093813273340832,0.5692463442069742,0.5582002249718785,0.6277277840269967,0.6082339707536557,0.5827784026996625,0.6253768278965128,0.550517435320585,0.611214848143982,0.5496962879640045,0.5390888638920135,0.6162992125984252,0.6322384701912261,0.5863892013498313,0.5256917885264342,0.5530033745781777,0.5879190101237346,0.534904386951631,0.6032845894263217,0.5839820022497189,0.5524859392575928,0.5349606299212598,0.5721709786276716,0.5500787401574804,0.5242969628796401,0.574904386951631,0.6050618672665917,0.5465804274465692,0.5859505061867267,0.5302024746906637
TSS,2023-01-01 to 2025-01-01,0.41236068895643363,0.39147744204064605,0.4421360033375052,0.46099290780141844,0.44072948328267475,0.39209726443769,0.44517551701531677,0.4569402228976697,0.4694916264378092,0.45125454437093987,0.43543715358483814,0.4151737290660945,0.44072948328267475,0.44072948328267475,0.4486083795220216,0.3391858871208058,0.4336372847011145,0.33879253829191247,0.37768639370641877,0.42834495500327796,0.4326241134751773,0.4072948328267477,0.4441623457893796,0.43566362715298884,0.3999761606770368,0.40526849037487334,0.46707193515704154,0.4465820370701472,0.44680851063829785,0.43059777102330293
TSS,2020-01-01 to 2025-01-01,0.5031155070643762,0.5838517844318736,0.6226948128007497,0.5768267720466529,0.5972820681206339,0.5433645940143861,0.5962576471537034,0.5719600523827628,0.6025040227964868,0.5565793364594015,0.6502677703914498,0.6168660783206793,0.6087561590070317,0.5878188954303336,0.5690759281234758,0.5285887377059882,0.5966829690734319,0.484281810815274,0.6233865609794502,0.6113700166288389,0.5713873559378013,0.5868588008034071,0.6011867729683438,0.5742431574055938,0.5584126371495175,0.5554094611564916,0.5846078589505781,0.6244354643593673,0.60274980702098,0.5451374087430056
HSS,2020-01-01 to 2022-01-01,0.03647963426543902,0.03316141559713079,0.05577435492258265,0.03567461172286495,0.04374483780323126,0.05306263555809809,0.04467064829032903,0.04102679341741472,0.055236794672716395,0.038219123522334864,0.04652929969274143,0.0430712504066804,0.055304310140728646,0.05624870919538833,0.01767641057756409,0.043519200673080696,0.05868724588546869,0.02135916503718225,0.05601098967697622,0.019399207959045688,0.003890875651374272,0.02658056043784457,0.04526623960995318,0.037300353539485756,0.05749337379046277,0.04266884642893634,0.040625561747258676,0.048733390186450676,0.030292202469281118,0.054607195666816793
HSS,2022-01-01 to 2023-01-01,0.5927295604365546,0.5196141347037473,0.5183935482860023,0.5911891052974485,0.5668310733959862,0.5731179167795926,0.5797712033203675,0.5112586378902394,0.5522586022024484,0.531769263414475,0.5023927206780336,0.5824806110895531,0.610513395645397,0.532531080487481,0.49076417402627404,0.5646358901324819,0.5646532631829133,0.5289602776449126,0.5794107796851874,0.558861522562866,0.5139807450816241,0.4933786342298415,0.5417327866233559,0.5399657704411196,0.49906044723782195,0.5612395609705209,0.5779986568166555,0.5058427328895112,0.561752193207124,0.507395366861867
HSS,2023-01-01 to 2025-01-01,0.10013749185903466,0.0940836419991807,0.11359648182572665,0.11943105423574933,0.11108707604394812,0.09279397452714425,0.11485331201180884,0.11772527799871634,0.1252974334830574,0.11739861198112096,0.11281023509466474,0.10464567804426658,0.11108707604394812,0.11108707604394812,0.11836560113723567,0.07760614391063403,0.10827252056523137,0.07629618693545573,0.09065212540124852,0.10990140190345705,0.10787475293872881,0.09826589595375723,0.11443320814050259,0.10907126785277318,0.09880687372648787,0.09752403680671884,0.12202565388124725,0.11749763223423006,0.11354239552191336,0.10708240825001408
HSS,2020-01-01 to 2025-01-01,0.5308029652529364,0.5997364831746677,0.6461841646763271,0.6007763168124562,0.6198127980683514,0.5677627180026595,0.6122249203161378,0.5947866943692585,0.6151391434760873,0.5770082737169517,0.6688879133728598,0.6374538376996894,0.6302173254016767,0.6079465861831765,0.590957015389355,0.5584742556249728,0.6227717032682103,0.5119546639276377,0.6488126613483035,0.6339876504122834,0.5902100169881995,0.6093381352588886,0.6231657002079709,0.5974967733170301,0.5807802234808969,0.579040245431319,0.6111167565291769,0.6444658917559254,0.6269814677679578,0.5706626518284491
POD,2020-01-01 to 2022-01-01,0.5925925925925926,0.5925925925925926,0.7777777777777778,0.5925925925925926,0.6296296296296297,0.7407407407407407,0.7407407407407407,0.6666666666666666,0.8518518518518519,0.6296296296296297,0.7777777777777778,0.6296296296296297,0.7777777777777778,0.7777777777777778,0.48148148148148145,0.6296296296296297,0.7777777777777778,0.4074074074074074,0.7777777777777778,0.5185185185185185,0.37037037037037035,0.5555555555555556,0.7407407407407407,0.5925925925925926,0.7037037037037037,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.5555555555555556,0.7777777777777778
POD,2022-01-01 to 2023-01-01,0.7314285714285714,0.7542857142857143,0.7314285714285714,0.7714285714285715,0.7657142857142857,0.7028571428571428,0.7828571428571428,0.7257142857142858,0.7942857142857143,0.6914285714285714,0.7142857142857143,0.76,0.7542857142857143,0.7714285714285715,0.7028571428571428,0.6514285714285715,0.7257142857142858,0.6628571428571428,0.7371428571428571,0.7257142857142858,0.7257142857142858,0.72,0.7257142857142858,0.68,0.6857142857142857,0.7028571428571428,0.7428571428571429,0.7257142857142858,0.7257142857142858,0.6857142857142857
