Metric,Period,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24,Sample_25,Sample_26,Sample_27,Sample_28,Sample_29,Sample_30
TSS,2020-01-01 to 2022-01-01,0.33974358974358976,0.7833333333333333,0.5533333333333333,0.5411538461538461,0.11384615384615382,0.8416666666666667,0.27358974358974364,0.6066666666666667,0.6533333333333333,0.6030769230769231,0.6083333333333334,0.5366666666666666,0.5866666666666667,0.5883333333333334,0.2770512820512821,0.6537179487179487,0.5549999999999999,0.3596153846153846,0.36602564102564106,0.6033333333333333,0.62,0.5730769230769232,0.6033333333333333,0.22179487179487178,0.7116666666666667,0.6566666666666667,0.3743589743589744,0.6266666666666667,0.3266666666666666,0.6866666666666666
TSS,2022-01-01 to 2025-01-01,0.444633730834753,0.49233390119250425,0.44206198401258023,0.41347791901454595,0.3993578823221072,0.41567291311754684,0.5311394312671995,0.5293211898833704,0.5672913117546848,0.5587734241908007,0.5012694928580789,0.65587734241908,0.5519591141396933,0.4456575153977198,0.40696664919407677,0.5383304940374787,0.38535250950072075,0.37368955575940244,0.21231653780631632,0.7206132879045997,0.4558789804743808,0.45826235093696766,0.545144804088586,0.37380421963045474,0.504258943781942,0.4616695059625213,0.4312344384746429,0.4759042065260123,0.5551778928056611,0.5076660988074957
TSS,2020-01-01 to 2025-01-01,0.7017682598930819,0.6740502324992882,0.49358649922500236,0.5268006832632145,0.5110990731661026,0.5275598646126594,0.5301102394584506,0.5696430266029798,0.7383513111694555,0.7181895106443551,0.5557998291841963,0.682096763989498,0.5696588428810931,0.4294159048492709,0.688083225255433,0.7105186157593395,0.4697830006642837,0.5170301774586405,0.3605162433176225,0.7615498370923354,0.6033475152627084,0.5796586847183122,0.7189368297852149,0.5419249992091861,0.7029623888906462,0.6005124474108753,0.621824882168728,0.618515325973492,0.6215085566064594,0.6595308891911555
HSS,2020-01-01 to 2022-01-01,0.1303556495646613,0.30618892508143325,0.1313530951366486,0.17335058214747737,0.03304308997544095,0.39352615015735054,0.06421521425132402,0.15844103663028192,0.18702290076335878,0.18467699193215947,0.15937526240658326,0.12387180777084011,0.14767006583193495,0.14853776562171261,0.08515249428638978,0.2110294878427315,0.13212470814448565,0.10437597678053137,0.06824592436773916,0.15659002429042027,0.1660828353595714,0.16461359995580843,0.15659002429042027,0.07243949417971694,0.23152801818523075,0.1892760799674809,0.13612419001445153,0.17005288060116894,0.09930432410312372,0.21104894002679486
HSS,2022-01-01 to 2025-01-01,0.29524726305656623,0.3366355485616043,0.3101615340853585,0.27371280324655783,0.2662807525325615,0.271263986915703,0.3883059144050417,0.3767177385743972,0.4068871931339548,0.3985593816908279,0.3547938296725274,0.49932969602494154,0.3919632185512506,0.3070009394015476,0.2694024934735404,0.378943848533155,0.26517499859099364,0.2397381197587171,0.1637685142191098,0.5744055779701516,0.31606981121897065,0.3068267190181896,0.38542496055126885,0.24543242407539356,0.3473698167179623,0.30975172823088504,0.29802119181307735,0.32471248309545897,0.4035902473876931,0.35046632534497335
HSS,2020-01-01 to 2025-01-01,0.7195023320583531,0.6946716843964768,0.4994268773517533,0.5365502993252346,0.5244017469374839,0.5553349566086033,0.5420067676559411,0.5816777465311915,0.7528438469493278,0.7304104796469252,0.5616606397218948,0.6911742610158965,0.5742042709902672,0.43528937859606437,0.6990244852789065,0.7251299393078512,0.47725305337915325,0.5212501968256752,0.34823658821642184,0.7772105823863636,0.6145138003733259,0.5952952355427777,0.7380577385204911,0.5562353514138739,0.722993773815866,0.6116262632974707,0.6388349514563106,0.6329779808235088,0.6368620014829401,0.6711220909646892
POD,2020-01-01 to 2022-01-01,0.5897435897435898,1.0,1.0,0.8461538461538461,0.48717948717948717,1.0,0.7435897435897436,1.0,1.0,0.9230769230769231,1.0,1.0,1.0,1.0,0.6153846153846154,0.9487179487179487,1.0,0.717948717948718,0.9743589743589743,1.0,1.0,0.9230769230769231,1.0,0.5384615384615384,1.0,1.0,0.6410256410256411,1.0,0.6666666666666666,1.0
POD,2022-01-01 to 2025-01-01,0.444633730834753,0.49233390119250425,0.5093696763202725,0.43270868824531517,0.43781942078364566,0.41567291311754684,0.5792163543441227,0.5485519591141397,0.5672913117546848,0.5587734241908007,0.534923339011925,0.65587734241908,0.5519591141396933,0.4889267461669506,0.43100511073253833,0.5383304940374787,0.47189097103918226,0.3833049403747871,0.5536626916524702,0.7206132879045997,0.4991482112436116,0.45826235093696766,0.545144804088586,0.4122657580919932,0.504258943781942,0.4616695059625213,0.4889267461669506,0.4855195911413969,0.5792163543441227,0.5076660988074957
POD,2020-01-01 to 2025-01-01,0.7364217252396166,0.7012779552715654,0.6693290734824281,0.6629392971246006,0.6261980830670927,0.5399361022364217,0.6501597444089456,0.6773162939297125,0.7779552715654952,0.7763578274760383,0.7092651757188498,0.7699680511182109,0.7268370607028753,0.6261980830670927,0.7635782747603834,0.7587859424920128,0.6405750798722045,0.6964856230031949,0.7763578274760383,0.7875399361022364,0.7060702875399361,0.6613418530351438,0.7412140575079872,0.6421725239616614,0.7252396166134185,0.7044728434504792,0.6837060702875399,0.6964856230031949,0.6932907348242812,0.7412140575079872
F1,2020-01-01 to 2022-01-01,0.2169811320754717,0.375,0.2254335260115607,0.25882352941176473,0.1347517730496454,0.4508670520231214,0.1657142857142857,0.2484076433121019,0.2727272727272727,0.2696629213483146,0.24920127795527156,0.21910112359550563,0.2392638036809816,0.24,0.18045112781954886,0.2924901185770751,0.22608695652173913,0.19858156028368795,0.17194570135746606,0.2468354430379747,0.2549019607843137,0.25263157894736843,0.2468354430379747,0.168,0.3107569721115538,0.2746478873239437,0.22321428571428573,0.2582781456953642,0.19330855018587362,0.2932330827067669
F1,2022-01-01 to 2025-01-01,0.6155660377358491,0.6598173515981736,0.6644444444444444,0.6011834319526628,0.6032863849765259,0.5872442839951865,0.7257203842049093,0.7053669222343921,0.7239130434782609,0.7169398907103826,0.6916299559471366,0.7921810699588477,0.7113062568605928,0.6500566251415628,0.5988165680473373,0.6998892580287929,0.6281179138321995,0.5528255528255528,0.6612410986775178,0.8376237623762376,0.6591676040494938,0.6285046728971962,0.7056229327453142,0.5782556750298686,0.6704416761041903,0.6317016317016317,0.6478555304740407,0.6521739130434783,0.7296137339055794,0.6734463276836158
F1,2020-01-01 to 2025-01-01,0.8269058295964126,0.8077276908923643,0.7059814658803707,0.7211120764552563,0.7056705670567057,0.6940451745379876,0.720353982300885,0.7458223394898856,0.8506550218340612,0.8386540120793787,0.7437185929648241,0.8176420695504665,0.7533112582781457,0.6661002548853017,0.8206008583690987,0.8333333333333334,0.688412017167382,0.7224523612261806,0.6712707182320442,0.8649122807017544,0.7680278019113814,0.7486437613019892,0.8375451263537906,0.7249774571686204,0.8269581056466302,0.7662901824500434,0.7753623188405797,0.7751111111111111,0.776386404293381,0.8027681660899654
FAR,2020-01-01 to 2022-01-01,0.25,0.21666666666666667,0.44666666666666666,0.305,0.37333333333333335,0.15833333333333333,0.47,0.3933333333333333,0.3466666666666667,0.32,0.39166666666666666,0.4633333333333333,0.41333333333333333,0.4116666666666667,0.3383333333333333,0.295,0.445,0.35833333333333334,0.6083333333333333,0.39666666666666667,0.38,0.35,0.39666666666666667,0.31666666666666665,0.28833333333333333,0.3433333333333333,0.26666666666666666,0.37333333333333335,0.34,0.31333333333333335
FAR,2022-01-01 to 2025-01-01,0.0,0.0,0.0673076923076923,0.019230769230769232,0.038461538461538464,0.0,0.04807692307692308,0.019230769230769232,0.0,0.0,0.03365384615384615,0.0,0.0,0.04326923076923077,0.02403846153846154,0.0,0.08653846153846154,0.009615384615384616,0.34134615384615385,0.0,0.04326923076923077,0.0,0.0,0.038461538461538464,0.0,0.0,0.057692307692307696,0.009615384615384616,0.02403846153846154,0.0
FAR,2020-01-01 to 2025-01-01,0.034653465346534656,0.027227722772277228,0.17574257425742573,0.13613861386138615,0.1150990099009901,0.012376237623762377,0.12004950495049505,0.10767326732673267,0.039603960396039604,0.05816831683168317,0.15346534653465346,0.08787128712871287,0.15717821782178218,0.1967821782178218,0.07549504950495049,0.04826732673267327,0.1707920792079208,0.17945544554455445,0.4158415841584158,0.02599009900990099,0.10272277227722772,0.08168316831683169,0.022277227722772276,0.10024752475247525,0.022277227722772276,0.10396039603960396,0.06188118811881188,0.07797029702970297,0.07178217821782178,0.08168316831683169
ACC,2020-01-01 to 2022-01-01,0.7402190923317684,0.7965571205007824,0.5805946791862285,0.704225352112676,0.6181533646322379,0.8513302034428795,0.543035993740219,0.6306729264475743,0.6744913928012519,0.6948356807511737,0.6322378716744914,0.564945226917058,0.6118935837245696,0.6134585289514867,0.6588419405320813,0.7198748043818466,0.5821596244131455,0.6463223787167449,0.4272300469483568,0.6275430359937402,0.6431924882629108,0.6666666666666666,0.6275430359937402,0.6744913928012519,0.729264475743349,0.6776212832550861,0.7276995305164319,0.6494522691705791,0.6604068857589984,0.7057902973395931
