Metric,Period,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24,Sample_25,Sample_26,Sample_27,Sample_28,Sample_29,Sample_30
TSS,2020-01-01 to 2022-01-01,0.23288355822088952,0.2677589776540301,0.2685086028414364,0.25951310059256083,0.2557649746555294,0.2565145998429357,0.21132290997358466,0.2610123509673734,0.2640108517169986,0.25801385021774825,0.25876347540515454,0.25201684871849783,0.13014921110873134,0.23063468265867065,0.27075747840365527,0.2610123509673734,0.2550153494681231,0.2647604769044049,0.23720282715784965,0.24901834796887268,0.26700935246662383,0.2610123509673734,0.25126722353109154,0.25051759834368525,0.26625972727921754,0.23063468265867065,0.2677589776540301,0.25351609909331047,0.27075747840365527,0.27075747840365527
TSS,2022-01-01 to 2023-01-01,0.5208387047321734,0.5191175343363043,0.537033036715979,0.52782094253242,0.5434090323120127,0.5943194408635118,0.5323782115158145,0.5191175343363043,0.5532273686997847,0.5474576153079641,0.5711428710794595,0.5491787857038333,0.5428027901077996,0.5317719693116015,0.5532273686997847,0.565373117687639,0.5491787857038333,0.5625370191001136,0.5630457050875567,0.5781251088797061,0.537639278920192,0.565881803675082,0.5434090323120127,0.5833861762840836,0.5191175343363043,0.527214700328207,0.5554572250830969,0.5717491132836726,0.5150689513403528,0.5317719693116015
TSS,2023-01-01 to 2025-01-01,0.6793737801586313,0.6755533408081059,0.6831942195091566,0.6723557991777751,0.6744321249117562,0.6714006893401436,0.6784186703209999,0.6860595490220506,0.6831942195091566,0.6774635604833686,0.6755533408081059,0.6870146588596818,0.6774635604833686,0.6822391096715252,0.6946555375607325,0.6889248785349446,0.669822681782318,0.6782525642622815,0.6765084506457373,0.6908350982102072,0.7160001661060587,0.6726880112952119,0.6946555375607325,0.6917902080478385,0.6986420829699763,0.6870146588596818,0.6726880112952119,0.6677463560483369,0.6917902080478385,0.6766745567044559
TSS,2020-01-01 to 2025-01-01,0.6109716051767432,0.600402018543558,0.6103921189878307,0.6152966244929495,0.6068035300367008,0.6250120726289357,0.6134917664670658,0.6040992611551091,0.6103619374154916,0.6005861261348271,0.6043437318910566,0.6045429302684953,0.6056868118601506,0.6144696494108557,0.623880263666216,0.6150823353293413,0.5930860054085377,0.6188248502994012,0.6043588226772262,0.6105007726482519,0.6131265694417616,0.6033809397334364,0.60877438671045,0.6124867201081707,0.6066345132316013,0.616440506084605,0.6061757533320455,0.6052914332625072,0.6143941954800076,0.5957118022020474
HSS,2020-01-01 to 2022-01-01,0.10479984578808713,0.10968138150872216,0.11051038697734551,0.1010536265324845,0.09740745272373805,0.0981238222683453,0.09711286089238845,0.10255834829443447,0.10565110565110565,0.09957568744145037,0.10031135404414308,0.09391794817219178,0.056800124630004674,0.10219705477610287,0.1130452926360344,0.10255834829443447,0.09669734704926909,0.10644221523801323,0.09362715398813633,0.09123247541326637,0.10886016998486436,0.10255834829443447,0.09323796277899199,0.09256377113614181,0.10804664300717028,0.10219705477610287,0.10968138150872216,0.09529560153503475,0.1130452926360344,0.1130452926360344
HSS,2022-01-01 to 2023-01-01,0.5795096838220472,0.5768477292965272,0.5944495009487374,0.5827511924911525,0.5991916832504783,0.6437634449182926,0.5923490827893129,0.5768477292965272,0.6092361526773793,0.6028822689810764,0.6265565875472996,0.6055537200242802,0.6008361229810407,0.5939818021902753,0.6092361526773793,0.6202270381836945,0.6055537200242802,0.6132016710976073,0.6192549106766503,0.6293952980268099,0.5928296464766764,0.6263826111102541,0.5991916832504783,0.6295399515738499,0.5768477292965272,0.5843341391268082,0.6180278807238444,0.6248286575893265,0.5730899843384143,0.5939818021902753
HSS,2023-01-01 to 2025-01-01,0.2396929117707387,0.23608974545032363,0.24336558089997337,0.25227878277941385,0.2443688779885948,0.25128221068664325,0.23878568192115995,0.24616691252067407,0.24336558089997337,0.2378827646544182,0.23608974545032363,0.24710978342046303,0.2378827646544182,0.24244078801741312,0.254821314322274,0.24900936599423631,0.23081105832522467,0.24818793782005502,0.2369841292931644,0.2509276297927539,0.25628753195790477,0.23343180344405218,0.254821314322274,0.2518938534815151,0.2488683766752463,0.24710978342046303,0.23343180344405218,0.23786278512470047,0.2518938534815151,0.22837801852812153
HSS,2020-01-01 to 2025-01-01,0.6303896961279514,0.6182366286477919,0.6277333747187088,0.6300053307786799,0.6219319234630036,0.6385145603976301,0.6333893702314755,0.620481740963482,0.6269142538285076,0.6167184754277709,0.6205770142657464,0.6194597486620514,0.6243070375739627,0.6337591266438076,0.6405579149771539,0.6307332102572991,0.6093993490635229,0.6341734996551287,0.6209822349232537,0.624157418650111,0.6299911461474887,0.6206010222438143,0.6230932242658643,0.6257186156329445,0.623869015286723,0.6349113584859911,0.6244962811870352,0.6201490460434769,0.6316903331512834,0.6151880151540416
POD,2020-01-01 to 2022-01-01,0.3333333333333333,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.30952380952380953,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.23809523809523808,0.3333333333333333,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.35714285714285715,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.3333333333333333,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.38095238095238093
POD,2022-01-01 to 2023-01-01,0.5587044534412956,0.5587044534412956,0.5748987854251012,0.5708502024291497,0.582995951417004,0.6356275303643725,0.5668016194331984,0.5587044534412956,0.5910931174089069,0.5870445344129555,0.6072874493927125,0.5870445344129555,0.5789473684210527,0.562753036437247,0.5910931174089069,0.6032388663967612,0.5870445344129555,0.6072874493927125,0.5991902834008097,0.6194331983805668,0.5789473684210527,0.5951417004048583,0.582995951417004,0.631578947368421,0.5587044534412956,0.5668016194331984,0.582995951417004,0.611336032388664,0.5546558704453441,0.562753036437247
POD,2023-01-01 to 2025-01-01,0.7373447946513849,0.7335243553008596,0.7411652340019103,0.7593123209169055,0.7468958930276982,0.7583572110792741,0.7363896848137536,0.7440305635148042,0.7411652340019103,0.7354345749761223,0.7335243553008596,0.7449856733524355,0.7354345749761223,0.7402101241642789,0.7526265520534862,0.7468958930276982,0.7277936962750716,0.7507163323782235,0.7344794651384909,0.7488061127029608,0.7449856733524355,0.7306590257879656,0.7526265520534862,0.7497612225405922,0.7421203438395415,0.7449856733524355,0.7306590257879656,0.7402101241642789,0.7497612225405922,0.720152817574021
POD,2020-01-01 to 2025-01-01,0.6916167664670658,0.6901197604790419,0.6991017964071856,0.7125748502994012,0.7050898203592815,0.7238023952095808,0.6916167664670658,0.6983532934131736,0.7020958083832335,0.6968562874251497,0.6991017964071856,0.7043413173652695,0.6908682634730539,0.6946107784431138,0.7110778443113772,0.7088323353293413,0.6908682634730539,0.7125748502994012,0.6976047904191617,0.7133233532934131,0.7028443113772455,0.6946107784431138,0.7095808383233533,0.7163173652694611,0.6968562874251497,0.6991017964071856,0.6923652694610778,0.7050898203592815,0.7020958083832335,0.6803892215568862
F1,2020-01-01 to 2022-01-01,0.14736842105263157,0.15311004784688995,0.15384615384615385,0.14545454545454545,0.14222222222222222,0.14285714285714285,0.13978494623655913,0.14678899082568808,0.14953271028037382,0.14414414414414414,0.14479638009049775,0.1391304347826087,0.10204081632653061,0.14507772020725387,0.15609756097560976,0.14678899082568808,0.1415929203539823,0.15023474178403756,0.1382488479262673,0.13675213675213677,0.1523809523809524,0.14678899082568808,0.13852813852813853,0.13793103448275862,0.15165876777251186,0.14507772020725387,0.15311004784688995,0.14035087719298245,0.15609756097560976,0.15609756097560976
F1,2022-01-01 to 2023-01-01,0.6781326781326781,0.6764705882352942,0.6909975669099757,0.6828087167070218,0.6956521739130435,0.7336448598130841,0.687960687960688,0.6764705882352942,0.7036144578313253,0.6987951807228916,0.7177033492822966,0.7004830917874396,0.6958637469586375,0.6881188118811881,0.7036144578313253,0.7129186602870813,0.7004830917874396,0.7092198581560284,0.7115384615384616,0.7216981132075472,0.6908212560386473,0.7153284671532847,0.6956521739130435,0.7238979118329466,0.6764705882352942,0.6829268292682927,0.7076167076167076,0.7173396674584323,0.6732186732186732,0.6881188118811881
F1,2023-01-01 to 2025-01-01,0.8469555677454745,0.8444200109950523,0.849480021893815,0.8603896103896104,0.8527808069792803,0.8597726042230645,0.8463227222832053,0.8513661202185793,0.849480021893815,0.8456891817682592,0.8444200109950523,0.85199344620426,0.8456891817682592,0.8488499452354874,0.8569874932028276,0.8532460447354064,0.8405956977385549,0.8552774755168662,0.845054945054945,0.8544959128065395,0.8529250956806999,0.8425110132158591,0.8569874932028276,0.855119825708061,0.8505747126436781,0.85199344620426,0.8425110132158591,0.8483853311439519,0.855119825708061,0.835920177383592
F1,2020-01-01 to 2025-01-01,0.7636363636363637,0.7569786535303776,0.7636958299264105,0.7674324869004434,0.7618277395875455,0.7739095638255302,0.7652173913043478,0.759771986970684,0.7638436482084691,0.7575264442636289,0.7599674532139952,0.7604040404040404,0.7602965403624382,0.7659925711927362,0.7726718178121188,0.7671121911705143,0.7525479005299633,0.7696038803556993,0.7598858540562576,0.7645407139991978,0.7655931512433755,0.7591002044989775,0.7632850241545893,0.765906362545018,0.7612428454619787,0.7674609695973705,0.7606907894736842,0.7609046849757674,0.7663398692810458,0.7534189805221716
FAR,2020-01-01 to 2022-01-01,0.10044977511244378,0.11319340329835083,0.11244377811094453,0.12143928035982009,0.12518740629685157,0.12443778110944528,0.09820089955022489,0.1199400299850075,0.11694152923538231,0.12293853073463268,0.12218890554722639,0.12893553223388307,0.10794602698650675,0.10269865067466268,0.11019490254872563,0.1199400299850075,0.12593703148425786,0.11619190404797601,0.1199400299850075,0.13193403298350825,0.11394302848575712,0.1199400299850075,0.12968515742128936,0.13043478260869565,0.11469265367316342,0.10269865067466268,0.11319340329835083,0.12743628185907047,0.11019490254872563,0.11019490254872563
FAR,2022-01-01 to 2023-01-01,0.0378657487091222,0.039586919104991396,0.0378657487091222,0.043029259896729774,0.039586919104991396,0.04130808950086059,0.03442340791738382,0.039586919104991396,0.0378657487091222,0.039586919104991396,0.03614457831325301,0.0378657487091222,0.03614457831325301,0.03098106712564544,0.0378657487091222,0.0378657487091222,0.0378657487091222,0.04475043029259897,0.03614457831325301,0.04130808950086059,0.04130808950086059,0.029259896729776247,0.039586919104991396,0.04819277108433735,0.039586919104991396,0.039586919104991396,0.027538726333907058,0.039586919104991396,0.039586919104991396,0.03098106712564544
FAR,2023-01-01 to 2025-01-01,0.057971014492753624,0.057971014492753624,0.057971014492753624,0.08695652173913043,0.07246376811594203,0.08695652173913043,0.057971014492753624,0.057971014492753624,0.057971014492753624,0.057971014492753624,0.057971014492753624,0.057971014492753624,0.057971014492753624,0.057971014492753624,0.057971014492753624,0.057971014492753624,0.057971014492753624,0.07246376811594203,0.057971014492753624,0.057971014492753624,0.028985507246376812,0.057971014492753624,0.057971014492753624,0.057971014492753624,0.043478260869565216,0.057971014492753624,0.057971014492753624,0.07246376811594203,0.057971014492753624,0.043478260869565216
FAR,2020-01-01 to 2025-01-01,0.08064516129032258,0.08971774193548387,0.08870967741935484,0.09727822580645161,0.09828629032258064,0.09879032258064516,0.078125,0.09425403225806452,0.09173387096774194,0.09627016129032258,0.09475806451612903,0.09979838709677419,0.08518145161290322,0.08014112903225806,0.0871975806451613,0.09375,0.09778225806451613,0.09375,0.09324596774193548,0.1028225806451613,0.08971774193548387,0.09122983870967742,0.10080645161290322,0.10383064516129033,0.09022177419354839,0.08266129032258064,0.08618951612903226,0.09979838709677419,0.08770161290322581,0.0846774193548387
ACC,2020-01-01 to 2022-01-01,0.8822674418604651,0.8713662790697675,0.872093023255814,0.8633720930232558,0.8597383720930233,0.8604651162790697,0.8837209302325582,0.8648255813953488,0.8677325581395349,0.8619186046511628,0.8626453488372093,0.8561046511627907,0.872093023255814,0.8800872093023255,0.8742732558139535,0.8648255813953488,0.8590116279069767,0.8684593023255814,0.8640988372093024,0.8531976744186046,0.8706395348837209,0.8648255813953488,0.8553779069767442,0.8546511627906976,0.8699127906976745,0.8800872093023255,0.8713662790697675,0.8575581395348837,0.8742732558139535,0.8742732558139535
ACC,2022-01-01 to 2023-01-01,0.8417874396135265,0.8405797101449275,0.8466183574879227,0.8417874396135265,0.8478260869565217,0.8623188405797102,0.8466183574879227,0.8405797101449275,0.8514492753623188,0.8490338164251208,0.857487922705314,0.8502415458937198,0.8490338164251208,0.8478260869565217,0.8514492753623188,0.855072463768116,0.8502415458937198,0.8514492753623188,0.855072463768116,0.857487922705314,0.8454106280193237,0.8586956521739131,0.8478260869565217,0.856280193236715,0.8405797101449275,0.8429951690821256,0.856280193236715,0.856280193236715,0.8393719806763285,0.8478260869565217
