Metric,Period,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24,Sample_25,Sample_26,Sample_27,Sample_28,Sample_29,Sample_30
TSS,2020-01-01 to 2022-01-01,0.4793201405941548,0.6228513650151668,0.5164427752900957,0.6801964466271848,0.34537050411671244,0.6183735374837498,0.44157157301747796,0.5170687081708315,0.5250613895709952,0.4468197794790313,0.5309355289132842,0.4426789927295489,0.5532283692041022,0.40175261206605994,0.37421156531368865,0.6048437575232317,0.5191391015455727,0.43536039289325434,0.5443208628244017,0.24676200105927104,0.4560643266406664,0.39409697144783085,0.37912273099330734,0.5516394626606962,0.5944917906495257,0.23530261447349415,0.4895276614184602,0.5118205017092782,0.657566565554432,0.6011844576050845
TSS,2022-01-01 to 2025-01-01,0.5169255167888002,0.4672426993328229,0.5037460352181997,0.38690801706223343,0.4655474133216669,0.657798315651318,0.5223941813409165,0.5785300229683912,0.4283331510445149,0.5987093951657005,0.44339932188559555,0.6180684676801925,0.5891118888767364,0.45209449852346056,0.4780979984687739,0.48545335229137043,0.5528819862189653,0.47361369353603844,0.44339932188559555,0.5701903095264136,0.5339604068686428,0.5650771081701849,0.5968227058952205,0.4687739254074155,0.5076014437274418,0.46078967516132563,0.4396259433446353,0.501503882751832,0.47424258995953184,0.47325823034015096
TSS,2020-01-01 to 2025-01-01,0.6373762180648138,0.5580988864762013,0.6078676793633033,0.5700369488878985,0.5806411848929935,0.7047407730503852,0.6214682836941301,0.6702856980305516,0.5171295550013749,0.6975121925008613,0.6078202684720733,0.6638883884405926,0.6722832769143727,0.5951457568832712,0.5322757543862976,0.6232762190130317,0.656470164326149,0.604466738099076,0.5871807271566424,0.6333810602971714,0.6307892649099351,0.6581105811627047,0.6791546954166311,0.6223248404623509,0.6196856341838848,0.5546505343207442,0.5493721217638117,0.6176880553000634,0.6217780348501658,0.6021372829766454
HSS,2020-01-01 to 2022-01-01,0.278625206414957,0.27297474097364366,0.2520858304542998,0.2861512285037169,0.17123827257752633,0.373245371850388,0.24753704553429243,0.31209857886018194,0.1979524042912378,0.298305956475618,0.26889219439635204,0.2914196963453675,0.31961946090294585,0.21622742232242348,0.15672830668091714,0.3046884474520362,0.31536459095030567,0.2397836060356944,0.25139540572394314,0.15285275433207074,0.2667492748317328,0.26125953589326184,0.26047834860564356,0.29521502744208816,0.29169127548489215,0.12178225223653717,0.22389834614283513,0.26345138665146595,0.33302445804579484,0.2817937665034192
HSS,2022-01-01 to 2025-01-01,0.5209424083769634,0.46102170481984595,0.5166944791126193,0.41836055879961564,0.4861654435909883,0.6393122417252421,0.5213890973596234,0.5763081197396017,0.4491112385321101,0.6068988455728481,0.4677444942815524,0.5853456424067432,0.5879784403356758,0.46648233833653086,0.4865391304347826,0.5009028326373999,0.5465603459927018,0.4800920215640894,0.4677444942815524,0.5680004358129273,0.5268511149181854,0.5564950452391211,0.5911251337188046,0.48369258548696537,0.5185981869735868,0.4652742307320642,0.442183138295678,0.5133796114874322,0.484516642688531,0.49026994872956975
HSS,2020-01-01 to 2025-01-01,0.6261197065243378,0.5426520257292041,0.5913304697276704,0.5469560312251693,0.564022658540704,0.6965660301909428,0.6103430079155673,0.6603918124830672,0.4948866162738995,0.6882323038587365,0.5902806767674287,0.6605894396517834,0.6610588802038818,0.5810718231362214,0.514297144846584,0.6067619709902337,0.6475767628644833,0.5920487649333321,0.5677585374351326,0.6246465943698236,0.6214783743300853,0.6516024447413963,0.6727711069712103,0.6074600848438103,0.6032665218434802,0.5420628301362246,0.5340371403640296,0.6024935103372159,0.6061876001479107,0.5839121186300412
POD,2020-01-01 to 2022-01-01,0.6511627906976745,0.8837209302325582,0.7441860465116279,0.9534883720930233,0.5813953488372093,0.7674418604651163,0.627906976744186,0.6744186046511628,0.8604651162790697,0.5813953488372093,0.7441860465116279,0.5813953488372093,0.7209302325581395,0.6046511627906976,0.6744186046511628,0.813953488372093,0.6744186046511628,0.627906976744186,0.7906976744186046,0.4186046511627907,0.627906976744186,0.5348837209302325,0.5116279069767442,0.7441860465116279,0.813953488372093,0.46511627906976744,0.7441860465116279,0.7209302325581395,0.8604651162790697,0.8372093023255814
POD,2022-01-01 to 2025-01-01,0.8766816143497758,0.8452914798206278,0.8878923766816144,0.899103139013453,0.8923766816143498,0.8834080717488789,0.8699551569506726,0.8834080717488789,0.8856502242152466,0.9035874439461884,0.8946188340807175,0.8497757847533632,0.8878923766816144,0.8789237668161435,0.874439461883408,0.8878923766816144,0.8699551569506726,0.8699551569506726,0.8946188340807175,0.8811659192825112,0.8632286995515696,0.8699551569506726,0.8834080717488789,0.8834080717488789,0.8856502242152466,0.8632286995515696,0.8542600896860987,0.8856502242152466,0.8766816143497758,0.8878923766816144
POD,2020-01-01 to 2025-01-01,0.8568507157464212,0.8486707566462167,0.8752556237218814,0.9038854805725971,0.8650306748466258,0.8732106339468303,0.8486707566462167,0.8650306748466258,0.8834355828220859,0.8752556237218814,0.8813905930470347,0.8261758691206544,0.8732106339468303,0.8548057259713702,0.8568507157464212,0.8813905930470347,0.852760736196319,0.8486707566462167,0.885480572597137,0.8404907975460123,0.8425357873210634,0.8404907975460123,0.8507157464212679,0.8711656441717791,0.8793456032719836,0.8282208588957055,0.8445807770961146,0.8711656441717791,0.8752556237218814,0.8834355828220859
F1,2020-01-01 to 2022-01-01,0.36363636363636365,0.3671497584541063,0.34594594594594597,0.37962962962962965,0.27472527472527475,0.44594594594594594,0.3375,0.3918918918918919,0.30578512396694213,0.37593984962406013,0.3595505617977528,0.37037037037037035,0.4,0.31137724550898205,0.2672811059907834,0.39106145251396646,0.3945578231292517,0.3312883435582822,0.3469387755102041,0.25,0.35294117647058826,0.34328358208955223,0.34108527131782945,0.38095238095238093,0.3804347826086957,0.22988505747126436,0.32323232323232326,0.35428571428571426,0.4157303370786517,0.37305699481865284
