Metric,Period,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24,Sample_25,Sample_26,Sample_27,Sample_28,Sample_29,Sample_30
TSS,2020-01-01 to 2022-01-01,0.13492569002123142,0.11446044493676727,0.1705067848241484,0.14859687990399703,0.1720345241392043,0.16498661497276837,0.15819255977106986,0.1390012000369242,0.12702852395458322,0.12898089171974522,0.14324748453798578,0.15624019200590786,0.17245915258931047,0.14859687990399703,0.1820548324563833,0.15989107357149449,0.13280254777070064,0.18078094710606482,0.16031570202160064,0.1223576110034155,0.14664451213883503,0.15072002215452782,0.1801024646912213,0.13365180467091295,0.14842610541862825,0.15836333425643864,0.15708944890612017,0.16328810117234374,0.1779793224406905,0.1607403304717068
TSS,2022-01-01 to 2023-01-01,0.6303508254716981,0.6158018867924528,0.619641804245283,0.6353331367924528,0.627454304245283,0.6440890330188679,0.6226046580188679,0.6167452830188679,0.6168116155660377,0.6216612617924528,0.6147921580188679,0.615735554245283,0.6186984080188679,0.6178213443396227,0.623548054245283,0.6148584905660377,0.623548054245283,0.6246241155660377,0.6168116155660377,0.6245577830188679,0.6303508254716981,0.6166789504716981,0.6158018867924528,0.625501179245283,0.633313679245283,0.6373525943396227,0.615735554245283,0.6275206367924528,0.6197081367924528,0.6225383254716981
TSS,2023-01-01 to 2025-01-01,0.6970681824362914,0.6899199506830935,0.6846528325491583,0.6661907222569737,0.6989492960555541,0.6895346623514373,0.6955587587369796,0.6838913214936495,0.6771147796604023,0.683515098769797,0.701211165202571,0.6891629724314867,0.6891629724314867,0.6887867497076341,0.6963112041846846,0.6759906442927466,0.6921727542223068,0.6944300905654219,0.6816339851505344,0.6838913214936495,0.695182536013127,0.6940584006454713,0.690296173406946,0.6929251996700119,0.6978160950800947,0.6925489769461595,0.686529413364519,0.6816339851505344,0.6884105269837817,0.6831434088498463
TSS,2020-01-01 to 2025-01-01,0.6628047990184589,0.6545276684237317,0.6537506949187337,0.6611169619068964,0.6607892564664894,0.6670631719866296,0.6595022335848082,0.6547672837653458,0.6594326347020886,0.6553530957634398,0.6574778734622114,0.6589014402773956,0.6562181593672306,0.6533710257368621,0.6624039847885778,0.6478256298870101,0.6608500377785818,0.6598087939772055,0.6530098477710637,0.6587314238185011,0.6667627753329233,0.6549099914375397,0.6569528427762096,0.6623282221671671,0.6567308625758503,0.665925020515833,0.657314020742008,0.656776662578624,0.6592626182431941,0.6513131930888738
HSS,2020-01-01 to 2022-01-01,0.06565923144132266,0.056417075498418325,0.08382630242547601,0.06864832419834771,0.07986133057937121,0.07849251163520943,0.07238276659123716,0.06484109990451246,0.06309910562600447,0.06060980688147415,0.0684904450797595,0.07545626285198415,0.08025301230696535,0.06864832419834771,0.08390269635579303,0.07386598064541579,0.06381513505241411,0.08271833465150193,0.0742412680906182,0.05909265688476263,0.07154381473187395,0.07047938065340462,0.08764372011329154,0.0645471922071698,0.06437586955868958,0.07745846126061044,0.07625105157447724,0.0769199828235665,0.08552376960192334,0.07461837519805709
HSS,2022-01-01 to 2023-01-01,0.6572274968013125,0.6430737496728908,0.647425062087288,0.6599903530330523,0.6542074747466985,0.6680349955854192,0.6494929380377202,0.6443986677704406,0.643449712831474,0.6481674306374705,0.6426969928114092,0.6440231112276009,0.6460985484044764,0.6438248847926267,0.6508198423779468,0.6417502278942571,0.6508198423779468,0.6502297889317692,0.643449712831474,0.6511874526920846,0.6572274968013125,0.6453506309196927,0.6430737496728908,0.6525145506408433,0.6592755702524993,0.6607021431027238,0.6440231112276009,0.6532450493720126,0.6464713254345971,0.6504514564041353
HSS,2023-01-01 to 2025-01-01,0.2782531442643299,0.2696249844998317,0.26349540849080305,0.27206120548746515,0.2805854887018295,0.27965938108395794,0.2817798866637041,0.27268586796217575,0.2696802240038706,0.27222933316965114,0.2780264948033019,0.2738627254960237,0.2738627254960237,0.27340640675941186,0.282731609635432,0.26330955067189993,0.2775504788424173,0.28036044015569783,0.26996197718631176,0.27268586796217575,0.2813056564874715,0.2745755903718594,0.27007006722978183,0.27848288048676073,0.2846482112877101,0.2780161511614789,0.27068983389511836,0.26996197718631176,0.27295110988100524,0.26668235618872016
HSS,2020-01-01 to 2025-01-01,0.6665545751421289,0.6584747495769495,0.6578195987007803,0.6644192579576439,0.6643087006004474,0.6705331913634134,0.66289652731022,0.6583631032771298,0.6632635176904693,0.6589521324094106,0.6612338321479276,0.6626928324226026,0.6598310057984831,0.6569140822309305,0.66583148973842,0.6515175015267933,0.6645248798392338,0.6631955633529345,0.6565960158802874,0.6624399623031576,0.6704336757476212,0.6586060594451416,0.6608600804062397,0.66600213966275,0.6598120545748556,0.6695637301606224,0.6611779980910976,0.6604107181893413,0.6630105631514046,0.6550429302564192
POD,2020-01-01 to 2022-01-01,0.25,0.22826086956521738,0.2826086956521739,0.2717391304347826,0.29347826086956524,0.2826086956521739,0.2826086956521739,0.2608695652173913,0.2391304347826087,0.25,0.2608695652173913,0.2717391304347826,0.29347826086956524,0.2717391304347826,0.30434782608695654,0.2826086956521739,0.25,0.30434782608695654,0.2826086956521739,0.2391304347826087,0.2608695652173913,0.2717391304347826,0.29347826086956524,0.25,0.2826086956521739,0.2717391304347826,0.2717391304347826,0.2826086956521739,0.29347826086956524,0.2826086956521739
POD,2022-01-01 to 2023-01-01,0.69921875,0.6875,0.689453125,0.70703125,0.697265625,0.71484375,0.693359375,0.6875,0.689453125,0.693359375,0.685546875,0.685546875,0.689453125,0.69140625,0.693359375,0.6875,0.693359375,0.697265625,0.689453125,0.6953125,0.69921875,0.685546875,0.6875,0.6953125,0.703125,0.7109375,0.685546875,0.69921875,0.69140625,0.69140625
