Metric,Period,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24,Sample_25,Sample_26,Sample_27,Sample_28,Sample_29,Sample_30
TSS,2020-01-01 to 2022-01-01,0.46420581655480986,0.2684563758389262,0.37248322147651003,0.3450782997762864,0.37527964205816555,0.4714765100671141,0.07941834451901565,0.28914988814317677,0.39821029082774045,0.42449664429530204,0.40212527964205824,0.20917225950782997,0.552013422818792,0.3389261744966443,0.3523489932885906,0.4440715883668904,0.5151006711409396,0.5587248322147651,0.27181208053691275,0.5956375838926175,0.5721476510067114,0.5721476510067114,0.5184563758389262,0.5749440715883669,0.45805369127516776,0.5587248322147651,-0.07718120805369127,0.48713646532438476,0.5251677852348993,0.47539149888143173
TSS,2022-01-01 to 2025-01-01,0.4816384180790961,0.5734463276836159,0.6633709981167608,0.5407250470809793,0.5830979284369116,0.5491996233521658,0.7116290018832392,0.6880885122410546,0.5009416195856873,0.5661487758945386,0.65560263653484,0.6977401129943503,0.667608286252354,0.7201035781544256,0.7448210922787195,0.5075329566854991,0.6657250470809793,0.6984463276836158,0.6247645951035782,0.7497645951035782,0.7123352165725048,0.6984463276836158,0.6193502824858756,0.6024011299435028,0.4616290018832392,0.6374764595103578,0.7250470809792844,0.48281544256120523,0.5958097928436912,0.702683615819209
TSS,2020-01-01 to 2025-01-01,0.5167829119442022,0.635745422842197,0.7209895379250217,0.5927201394943331,0.6573670444638187,0.5764167393199651,0.7306451612903226,0.7089363557105492,0.5871403661726242,0.5547079337401918,0.7059285091543156,0.7062772449869225,0.6803618134263295,0.6953792502179599,0.6981691368788143,0.48315170008718394,0.6278116826503923,0.7045989537925021,0.6452266782911944,0.7411072362685266,0.7181124673060156,0.715409764603313,0.6599825632083696,0.6262641673931997,0.545357454228422,0.6991499564080209,0.775,0.46277244986922406,0.6640148212728858,0.7045989537925021
HSS,2020-01-01 to 2022-01-01,0.08727655099894847,0.07628128724672228,0.1633954857703631,0.09482096204087906,0.11443676984736079,0.11228023441662227,0.048431105047748974,0.12910475714820827,0.09858764885073387,0.0891996709366553,0.13587829537938204,0.0968535543182701,0.17040745856353592,0.12648716343143393,0.13984461709211987,0.0798873126069021,0.14000152010336703,0.17684545937334042,0.0781224883459251,0.21902313624678663,0.1907514450867052,0.1907514450867052,0.14246196403872752,0.14376617019788826,0.10508083140877598,0.17684545937334042,-0.05360264128957079,0.08013985370566315,0.14754871150219986,0.1523980277902286
HSS,2022-01-01 to 2025-01-01,0.496,0.5790349417637272,0.6299318207220297,0.5158320233550415,0.5830979284369114,0.5287851314596554,0.6461472694239607,0.633095083387481,0.5058236272878536,0.5554272517321016,0.65560263653484,0.6363246028338343,0.6368740175162811,0.659622641509434,0.6617862371888726,0.49557522123893805,0.609811320754717,0.6756233633154959,0.615848706346444,0.7087227414330218,0.685856754306437,0.6756233633154959,0.6193502824858758,0.5909930715935335,0.45504118807286226,0.6374764595103578,0.7079646017699115,0.4875207986688852,0.6045622835303953,0.6829100892244337
HSS,2020-01-01 to 2025-01-01,0.48037765666470816,0.6094123792112823,0.7110628647585473,0.5714465831722283,0.6333672837237628,0.5500873616773442,0.7330818435296047,0.7028621438527114,0.558196398599225,0.5233933161953728,0.6836589304372606,0.7020767205797918,0.6601738468371297,0.6849070983115615,0.6926436881027548,0.4505075755266287,0.6083981074687395,0.683251080558403,0.6208747994421082,0.726142806803985,0.6986068997688768,0.6955277963192524,0.6322427077025871,0.5980372771643546,0.5174920631637728,0.674921623498222,0.7719210646288779,0.42622128095233314,0.6357006479076027,0.683251080558403
POD,2020-01-01 to 2022-01-01,0.8333333333333334,0.5,0.5,0.5833333333333334,0.5833333333333334,0.75,0.16666666666666666,0.4166666666666667,0.6666666666666666,0.75,0.5833333333333334,0.3333333333333333,0.75,0.5,0.5,0.8333333333333334,0.75,0.75,0.5,0.75,0.75,0.75,0.75,0.8333333333333334,0.75,0.75,0.0,0.9166666666666666,0.75,0.6666666666666666
POD,2022-01-01 to 2025-01-01,0.8983050847457628,0.9067796610169492,0.885593220338983,0.8601694915254238,0.902542372881356,0.8686440677966102,0.864406779661017,0.8686440677966102,0.8898305084745762,0.885593220338983,0.9194915254237288,0.864406779661017,0.8898305084745762,0.8728813559322034,0.8559322033898306,0.8686440677966102,0.8601694915254238,0.9067796610169492,0.902542372881356,0.902542372881356,0.9067796610169492,0.9067796610169492,0.9110169491525424,0.8940677966101694,0.864406779661017,0.9152542372881356,0.9194915254237288,0.885593220338983,0.9152542372881356,0.9110169491525424
POD,2020-01-01 to 2025-01-01,0.8951612903225806,0.8870967741935484,0.8669354838709677,0.8467741935483871,0.8870967741935484,0.8629032258064516,0.8306451612903226,0.8467741935483871,0.8790322580645161,0.8790322580645161,0.9032258064516129,0.8387096774193549,0.8830645161290323,0.8548387096774194,0.8387096774193549,0.8669354838709677,0.8548387096774194,0.8991935483870968,0.8830645161290323,0.8951612903225806,0.8991935483870968,0.8991935483870968,0.9032258064516129,0.8911290322580645,0.8588709677419355,0.907258064516129,0.875,0.8870967741935484,0.907258064516129,0.8991935483870968
F1,2020-01-01 to 2022-01-01,0.15151515151515152,0.13793103448275862,0.21428571428571427,0.15555555555555556,0.1728395061728395,0.17307692307692307,0.1,0.18181818181818182,0.16,0.15254237288135594,0.1917808219178082,0.1509433962264151,0.225,0.18181818181818182,0.1935483870967742,0.14492753623188406,0.1978021978021978,0.23076923076923078,0.13953488372093023,0.26865671641791045,0.24324324324324326,0.24324324324324326,0.2,0.20202020202020202,0.16666666666666666,0.23076923076923078,0.0,0.1456953642384106,0.20454545454545456,0.2077922077922078
